"","LAT_REL","LONG_REL","LAT_REC","LONG_REC","TAG_NUMBER","PROGRAM","RELDT","RECDT","DAL","INDEX","REC_YEAR","REL_AREA","REC_AREA","REL_MONTH","REC_MONTH","REL_YEAR","DISTANCE","SPEED","COUNT","REC_REGION","REL_REGION","BEARING","dir.binned"
"26",54.68575,-165.07617,59.11666667,-163.8166667,787,"FIT","4/19/2002","5/31/2003",407,1045,2003,517,514,4,5,2002,499.326369181159,1.22684611592422,1,"EBS","EBS",8.81103071290045,"0"
"27",54.70623,-165.10265,58.1697,-162.09775,1113,"FIT","4/20/2002","1/17/2003",272,1192,2003,517,514,4,1,2002,427.786121702603,1.57274309449486,1,"EBS","EBS",25.6054820352446,"30"
"28",54.57572,-165.11322,58.01666667,-166.6333333,1859,"FIT","4/22/2002","8/18/2003",483,1450,2003,517,514,4,8,2002,394.503277238769,0.816776971508839,1,"EBS","EBS",346.237133602799,"0"
"29",54.56774833,-165.20936,58.40000001,-166.7166666,3132,"FIT","2/9/2003","5/2/2004",448,1910,2004,517,514,2,5,2003,436.681848182688,0.974736268264929,1,"EBS","EBS",347.759063001315,"0"
"30",60.0275,-177.2333333,60.61666667,-172.7,5351,"RACE","7/31/1986","7/25/1987",359,304,1987,524,524,7,7,1986,258.896752336073,0.721160870016917,1,"EBS","EBS",75.2919853070266,"90"
"31",60.66433333,-172.7816667,60.66666667,-172.75,8227,"RACE","7/21/1987","7/24/1987",3,352,1987,524,524,7,7,1987,1.75080442316959,0.583601474389863,1,"EBS","EBS",81.4465632320425,"90"
"32",60.00166667,-175.9,60.05,-176.15,5246,"RACE","7/28/1986","9/23/1986",57,294,1986,521,524,7,9,1986,14.9431078733439,0.262159787251648,1,"EBS","EBS",291.154890657326,"300"
"33",55.17845,-164.17773,59.55000001,-170.4166667,4846,"FIT","2/12/2003","9/26/2004",592,2430,2004,509,524,2,9,2003,614.251065310168,1.03758625896988,1,"EBS","EBS",322.455252070949,"330"
"34",54.6951,-165.09958,60.36881667,-173.9829,1880,"FIT","4/21/2002","9/30/2002",162,1392,2002,517,524,4,9,2002,824.669639792218,5.09055333205073,1,"EBS","EBS",320.021265311797,"330"
"35",54.55873833,-165.1811783,59.31666666,-170.9666666,2761,"FIT","2/8/2003","8/19/2003",192,1779,2003,517,524,2,8,2003,635.695431926026,3.31091370794805,1,"EBS","EBS",326.484279092118,"330"
"36",54.58420333,-165.2067933,59.48999998,-170.2816667,2507,"FIT","2/8/2003","9/8/2005",943,1780,2005,517,524,2,9,2003,626.791394450697,0.664678042895755,1,"EBS","EBS",330.670249029085,"330"
"37",54.57136333,-165.178585,60.66666669,-172.3833333,2601,"FIT","2/8/2003","4/28/2003",79,1781,2003,517,524,2,4,2003,802.832076400984,10.1624313468479,1,"EBS","EBS",327.738350472585,"330"
"38",54.5792,-165.2326133,60.74333328,-178.7716666,2759,"FIT","2/8/2003","8/25/2003",198,1782,2003,517,524,2,8,2003,1056.82598309667,5.33750496513467,1,"EBS","EBS",310.48387652632,"300"
"39",54.534145,-165.1848467,59.56483334,-170.1526667,3345,"FIT","2/9/2003","9/9/2005",943,1913,2005,517,524,2,9,2003,635.794623257465,0.674225475352561,1,"EBS","EBS",331.803275431956,"330"
"40",54.61445,-165.267645,60.48333332,-177.9333333,3273,"FIT","2/9/2003","10/1/2004",600,1916,2004,517,524,2,10,2003,998.201994676526,1.66366999112754,1,"EBS","EBS",310.886529456085,"300"
"41",54.517595,-165.0254017,59.66666669,-170.75,6873,"FIT","2/16/2003","10/1/2003",227,2923,2003,517,524,2,10,2003,669.698525688135,2.95021376955125,1,"EBS","EBS",328.916796017704,"330"
