YEAR,INDEX,TEMP,MODEL,SERIES,USED
2026,4,2.3673563,MIROC_ESM_2.6,2.6,Y
2027,4,0.3672104,MIROC_ESM_2.6,2.6,Y
2028,4,1.4961224,MIROC_ESM_2.6,2.6,Y
2029,4,1.7705164,MIROC_ESM_2.6,2.6,Y
2030,4,1.5819836,MIROC_ESM_2.6,2.6,Y
2031,4,1.8205881,MIROC_ESM_2.6,2.6,Y
2032,4,0.7471476,MIROC_ESM_2.6,2.6,Y
2033,4,2.8073997,MIROC_ESM_2.6,2.6,Y
2034,4,1.7005615,MIROC_ESM_2.6,2.6,Y
2035,4,2.6556082,MIROC_ESM_2.6,2.6,Y
2036,4,1.6944656,MIROC_ESM_2.6,2.6,Y
2037,4,1.0721722,MIROC_ESM_2.6,2.6,Y
2038,4,1.3290768,MIROC_ESM_2.6,2.6,Y
2039,4,0.8432074,MIROC_ESM_2.6,2.6,Y
2040,4,2.4602203,MIROC_ESM_2.6,2.6,Y
2041,4,1.0656786,MIROC_ESM_2.6,2.6,Y
2042,4,1.442976,MIROC_ESM_2.6,2.6,Y
2043,4,3.7730637,MIROC_ESM_2.6,2.6,Y
2044,4,2.4180164,MIROC_ESM_2.6,2.6,Y
2045,4,1.9439077,MIROC_ESM_2.6,2.6,Y
2046,4,2.1926079,MIROC_ESM_2.6,2.6,Y
2047,4,2.3568115,MIROC_ESM_2.6,2.6,Y
2048,4,1.4137955,MIROC_ESM_2.6,2.6,Y
2049,4,2.3251371,MIROC_ESM_2.6,2.6,Y
2050,4,2.034791,MIROC_ESM_2.6,2.6,Y
2051,4,2.0225983,MIROC_ESM_2.6,2.6,Y
2052,4,1.837471,MIROC_ESM_2.6,2.6,Y
2053,4,0.8536854,MIROC_ESM_2.6,2.6,Y
2054,4,1.2425861,MIROC_ESM_2.6,2.6,Y
2055,4,3.1880569,MIROC_ESM_2.6,2.6,Y
2056,4,0.7870455,MIROC_ESM_2.6,2.6,Y
2057,4,2.783226,MIROC_ESM_2.6,2.6,Y
2058,4,1.7055101,MIROC_ESM_2.6,2.6,Y
2059,4,2.7266264,MIROC_ESM_2.6,2.6,Y
2060,4,1.4096994,MIROC_ESM_2.6,2.6,Y
2061,4,1.1763468,MIROC_ESM_2.6,2.6,Y
2062,4,2.469346,MIROC_ESM_2.6,2.6,Y
2063,4,1.5426903,MIROC_ESM_2.6,2.6,Y
2064,4,2.2288313,MIROC_ESM_2.6,2.6,Y
2065,4,1.1106567,MIROC_ESM_2.6,2.6,Y
2066,4,1.5422277,MIROC_ESM_2.6,2.6,Y
2067,4,1.8900528,MIROC_ESM_2.6,2.6,Y
2068,4,2.2931519,MIROC_ESM_2.6,2.6,Y
2069,4,3.1393404,MIROC_ESM_2.6,2.6,Y
2070,4,1.0320597,MIROC_ESM_2.6,2.6,Y
2071,4,3.3744507,MIROC_ESM_2.6,2.6,Y
2072,4,1.5688772,MIROC_ESM_2.6,2.6,Y
2073,4,0.7240667,MIROC_ESM_2.6,2.6,Y
2074,4,2.0804634,MIROC_ESM_2.6,2.6,Y
2075,4,3.2756224,MIROC_ESM_2.6,2.6,Y
2076,4,2.8469152,MIROC_ESM_2.6,2.6,Y
2077,4,2.8614206,MIROC_ESM_2.6,2.6,Y
2078,4,2.1618958,MIROC_ESM_2.6,2.6,Y
2079,4,1.8769388,MIROC_ESM_2.6,2.6,Y
2080,4,2.2087545,MIROC_ESM_2.6,2.6,Y
2081,4,2.1253729,MIROC_ESM_2.6,2.6,Y
2082,4,2.0238657,MIROC_ESM_2.6,2.6,Y
2083,4,1.4646912,MIROC_ESM_2.6,2.6,Y
2084,4,2.2276573,MIROC_ESM_2.6,2.6,Y
2085,4,2.8481188,MIROC_ESM_2.6,2.6,Y
2086,4,0.9720802,MIROC_ESM_2.6,2.6,Y
2087,4,2.0019732,MIROC_ESM_2.6,2.6,Y
2088,4,2.9982748,MIROC_ESM_2.6,2.6,Y
2089,4,3.630476,MIROC_ESM_2.6,2.6,Y
2090,4,2.1872864,MIROC_ESM_2.6,2.6,Y
2091,4,2.9485989,MIROC_ESM_2.6,2.6,Y
2092,4,2.7268639,MIROC_ESM_2.6,2.6,Y
2093,4,2.1784182,MIROC_ESM_2.6,2.6,Y
2094,4,2.2437897,MIROC_ESM_2.6,2.6,Y
2095,4,2.3372002,MIROC_ESM_2.6,2.6,Y
2096,4,2.1202803,MIROC_ESM_2.6,2.6,Y
2097,4,1.9608355,MIROC_ESM_2.6,2.6,Y
2098,4,2.8752136,MIROC_ESM_2.6,2.6,Y
2099,4,2.9934425,MIROC_ESM_2.6,2.6,Y
2020,4,0.477888107,MIROC5_2.6,2.6,Y
2021,4,0.416230202,MIROC5_2.6,2.6,Y
2022,4,0.523109436,MIROC5_2.6,2.6,Y
2023,4,0.694888115,MIROC5_2.6,2.6,Y
2024,4,-0.362890244,MIROC5_2.6,2.6,Y
2025,4,-1.019429207,MIROC5_2.6,2.6,Y
2026,4,0.700613976,MIROC5_2.6,2.6,Y
2027,4,1.067684174,MIROC5_2.6,2.6,Y
2028,4,2.067918777,MIROC5_2.6,2.6,Y
2029,4,1.446519852,MIROC5_2.6,2.6,Y
2030,4,-0.750627518,MIROC5_2.6,2.6,Y
2031,4,-1.329679489,MIROC5_2.6,2.6,Y
2032,4,-0.16744709,MIROC5_2.6,2.6,Y
2033,4,0.260371208,MIROC5_2.6,2.6,Y
2034,4,0.329849243,MIROC5_2.6,2.6,Y
2035,4,0.855363846,MIROC5_2.6,2.6,Y
2036,4,1.010613441,MIROC5_2.6,2.6,Y
2037,4,0.832838058,MIROC5_2.6,2.6,Y
2038,4,0.980314255,MIROC5_2.6,2.6,Y
2039,4,0.166139603,MIROC5_2.6,2.6,Y
2040,4,0.617706299,MIROC5_2.6,2.6,Y
2041,4,2.271046638,MIROC5_2.6,2.6,Y
2042,4,0.951488495,MIROC5_2.6,2.6,Y
2043,4,-0.086129189,MIROC5_2.6,2.6,Y
2044,4,-0.146306992,MIROC5_2.6,2.6,Y
2045,4,1.401037216,MIROC5_2.6,2.6,Y
2046,4,1.180422783,MIROC5_2.6,2.6,Y
2047,4,1.943623543,MIROC5_2.6,2.6,Y
2048,4,1.578954697,MIROC5_2.6,2.6,Y
2049,4,-0.375448227,MIROC5_2.6,2.6,Y
2050,4,0.184837341,MIROC5_2.6,2.6,Y
2051,4,-0.098474503,MIROC5_2.6,2.6,Y
2052,4,2.275963783,MIROC5_2.6,2.6,Y
2053,4,2.632050514,MIROC5_2.6,2.6,Y
2054,4,2.077170372,MIROC5_2.6,2.6,Y
2055,4,1.511644363,MIROC5_2.6,2.6,Y
2056,4,1.580287933,MIROC5_2.6,2.6,Y
2057,4,1.128619194,MIROC5_2.6,2.6,Y
2058,4,0.615931511,MIROC5_2.6,2.6,Y
2059,4,1.241036415,MIROC5_2.6,2.6,Y
2060,4,0.880722046,MIROC5_2.6,2.6,Y
2061,4,0.406716347,MIROC5_2.6,2.6,Y
2062,4,0.335541725,MIROC5_2.6,2.6,Y
2063,4,0.278059959,MIROC5_2.6,2.6,Y
2064,4,-0.402781487,MIROC5_2.6,2.6,Y
2065,4,0.630315781,MIROC5_2.6,2.6,Y
2066,4,1.333843231,MIROC5_2.6,2.6,Y
2067,4,1.042725563,MIROC5_2.6,2.6,Y
2068,4,-0.00227356,MIROC5_2.6,2.6,Y
2069,4,0.132130623,MIROC5_2.6,2.6,Y
2070,4,0.824018478,MIROC5_2.6,2.6,Y
2071,4,0.92419529,MIROC5_2.6,2.6,Y
2072,4,1.069752693,MIROC5_2.6,2.6,Y
2073,4,0.950169563,MIROC5_2.6,2.6,Y
2074,4,2.029918671,MIROC5_2.6,2.6,Y
2075,4,1.20111084,MIROC5_2.6,2.6,Y
2076,4,2.397191048,MIROC5_2.6,2.6,Y
2077,4,0.809604645,MIROC5_2.6,2.6,Y
2078,4,0.399927139,MIROC5_2.6,2.6,Y
2079,4,0.965869904,MIROC5_2.6,2.6,Y
2080,4,0.901170731,MIROC5_2.6,2.6,Y
2081,4,0.907588005,MIROC5_2.6,2.6,Y
2082,4,1.278401375,MIROC5_2.6,2.6,Y
2083,4,1.800461769,MIROC5_2.6,2.6,Y
2084,4,1.645814896,MIROC5_2.6,2.6,Y
2085,4,0.965488434,MIROC5_2.6,2.6,Y
2086,4,1.406543732,MIROC5_2.6,2.6,Y
2087,4,0.986077309,MIROC5_2.6,2.6,Y
2088,4,1.475142479,MIROC5_2.6,2.6,Y
2089,4,1.837475777,MIROC5_2.6,2.6,Y
2090,4,0.851818085,MIROC5_2.6,2.6,Y
2091,4,0.008385658,MIROC5_2.6,2.6,Y
2092,4,1.846436501,MIROC5_2.6,2.6,Y
2093,4,1.332098007,MIROC5_2.6,2.6,Y
2094,4,0.929558754,MIROC5_2.6,2.6,Y
2095,4,1.416217804,MIROC5_2.6,2.6,Y
2096,4,0.824025154,MIROC5_2.6,2.6,Y
2097,4,0.89187336,MIROC5_2.6,2.6,Y
2098,4,1.574755669,MIROC5_2.6,2.6,Y
2099,4,1.262797356,MIROC5_2.6,2.6,Y
2020,4,0.418296814,MPI_ESM_LR_2.6,2.6,Y
2021,4,1.266372681,MPI_ESM_LR_2.6,2.6,Y
2022,4,0.968559265,MPI_ESM_LR_2.6,2.6,Y
2023,4,0.161225319,MPI_ESM_LR_2.6,2.6,Y
2024,4,0.25435257,MPI_ESM_LR_2.6,2.6,Y
2025,4,0.521951675,MPI_ESM_LR_2.6,2.6,Y
2026,4,1.031925201,MPI_ESM_LR_2.6,2.6,Y
2027,4,1.001554489,MPI_ESM_LR_2.6,2.6,Y
2028,4,1.812458992,MPI_ESM_LR_2.6,2.6,Y
2029,4,0.571559906,MPI_ESM_LR_2.6,2.6,Y
2030,4,1.509221077,MPI_ESM_LR_2.6,2.6,Y
2031,4,1.585068703,MPI_ESM_LR_2.6,2.6,Y
2032,4,1.018618584,MPI_ESM_LR_2.6,2.6,Y
2033,4,0.755544662,MPI_ESM_LR_2.6,2.6,Y
2034,4,0.4611063,MPI_ESM_LR_2.6,2.6,Y
2035,4,1.525426865,MPI_ESM_LR_2.6,2.6,Y
2036,4,0.656493187,MPI_ESM_LR_2.6,2.6,Y
2037,4,1.480135918,MPI_ESM_LR_2.6,2.6,Y
2038,4,2.533473015,MPI_ESM_LR_2.6,2.6,Y
2039,4,1.424681664,MPI_ESM_LR_2.6,2.6,Y
2040,4,0.449163437,MPI_ESM_LR_2.6,2.6,Y
2041,4,0.392146111,MPI_ESM_LR_2.6,2.6,Y
2042,4,0.570242882,MPI_ESM_LR_2.6,2.6,Y
