Label,Value,Parm_StDev
Size_DblN_peak_FshTrawl(1)_BLK2repl_2017,77.2556,NA
Size_DblN_peak_FshTrawl(1)_dev_se,0.2,NA
Size_DblN_peak_FshTrawl(1)_dev_autocorr,0,NA
Size_DblN_top_logit_FshTrawl(1)_BLK2repl_1990,0.0258862,140.082
Size_DblN_top_logit_FshTrawl(1)_BLK2repl_2005,-4.92979,347.654
Size_DblN_top_logit_FshTrawl(1)_BLK2repl_2007,-5.8817,243.389
Size_DblN_top_logit_FshTrawl(1)_BLK2repl_2017,-4.48357,455.831
Size_DblN_ascend_se_FshTrawl(1)_BLK2repl_1990,5.91786,0.056228
Size_DblN_ascend_se_FshTrawl(1)_BLK2repl_2005,6.03094,0.174366
Size_DblN_ascend_se_FshTrawl(1)_BLK2repl_2007,5.96315,0.0633137
Size_DblN_ascend_se_FshTrawl(1)_BLK2repl_2017,6.10926,0.039484
Size_DblN_ascend_se_FshTrawl(1)_dev_se,0.2,NA
Size_DblN_ascend_se_FshTrawl(1)_dev_autocorr,0,NA
Size_DblN_descend_se_FshTrawl(1)_BLK2repl_1990,5.13569,110.44
Size_DblN_descend_se_FshTrawl(1)_BLK2repl_2005,5.21182,104.11
Size_DblN_descend_se_FshTrawl(1)_BLK2repl_2007,2.98264,64.3085
Size_DblN_descend_se_FshTrawl(1)_BLK2repl_2017,5.2565,97.9395
Size_DblN_descend_se_FshTrawl(1)_dev_se,0.2,NA
Size_DblN_descend_se_FshTrawl(1)_dev_autocorr,0,NA
Size_DblN_peak_FshLL(2)_BLK2repl_1990,72.8026,1.05604
Size_DblN_peak_FshLL(2)_BLK2repl_2005,67.418,1.74181
Size_DblN_peak_FshLL(2)_BLK2repl_2007,71.2865,0.875671
Size_DblN_peak_FshLL(2)_BLK2repl_2017,73.8011,1.53842
Size_DblN_peak_FshLL(2)_dev_se,0.2,NA
Size_DblN_peak_FshLL(2)_dev_autocorr,0,NA
Size_DblN_top_logit_FshLL(2)_BLK2repl_1990,0.0764258,127.755
Size_DblN_top_logit_FshLL(2)_BLK2repl_2005,-5.10859,318.932
Size_DblN_top_logit_FshLL(2)_BLK2repl_2007,-5.18801,308.137
Size_DblN_top_logit_FshLL(2)_BLK2repl_2017,-4.416,513.005
Size_DblN_ascend_se_FshLL(2)_BLK2repl_1990,5.42799,0.0777828
Size_DblN_ascend_se_FshLL(2)_BLK2repl_2005,5.21921,0.164845
Size_DblN_ascend_se_FshLL(2)_BLK2repl_2007,5.33115,0.0655776
Size_DblN_ascend_se_FshLL(2)_BLK2repl_2017,5.51388,0.106045
Size_DblN_ascend_se_FshLL(2)_dev_se,0.2,NA
Size_DblN_ascend_se_FshLL(2)_dev_autocorr,0,NA
Size_DblN_descend_se_FshLL(2)_BLK2repl_1990,10,NA
Size_DblN_descend_se_FshLL(2)_BLK2repl_2005,10,NA
Size_DblN_descend_se_FshLL(2)_BLK2repl_2007,10,NA
Size_DblN_descend_se_FshLL(2)_BLK2repl_2017,10,NA
Size_DblN_peak_FshPot(3)_BLK3repl_2017,73.9863,1.39334
Size_DblN_top_logit_FshPot(3)_BLK3repl_2017,6.56601,47.2827
Size_DblN_ascend_se_FshPot(3)_BLK3repl_2017,5.34751,0.10678
Size_DblN_peak_Srv(4)_BLK1repl_1996,64.0162,3.1358
Size_DblN_peak_Srv(4)_BLK1repl_2006,57.6114,2.43338
Size_DblN_top_logit_Srv(4)_BLK1repl_1996,-5.44733,276.696
Size_DblN_top_logit_Srv(4)_BLK1repl_2006,-4.38926,420.885
Size_DblN_ascend_se_Srv(4)_BLK1repl_1996,6.02346,0.343491
Size_DblN_ascend_se_Srv(4)_BLK1repl_2006,5.45321,0.293724
Size_DblN_descend_se_Srv(4)_BLK1repl_1996,3.722,70.2754
Size_DblN_descend_se_Srv(4)_BLK1repl_2006,4.22166,73.8312
Size_DblN_start_logit_Srv(4)_BLK1repl_1996,-2.73905,0.314617
Size_DblN_start_logit_Srv(4)_BLK1repl_2006,-2.29991,0.173065
Size_DblN_end_logit_Srv(4)_BLK1repl_1996,10,NA
Size_DblN_end_logit_Srv(4)_BLK1repl_2006,10,NA
Size_DblN_peak_FshTrawl(1)_DEVmult_1977,-0.486708,0.477422
Size_DblN_peak_FshTrawl(1)_DEVmult_1978,-0.280023,0.631395
Size_DblN_peak_FshTrawl(1)_DEVmult_1979,0.0121534,0.98257
Size_DblN_peak_FshTrawl(1)_DEVmult_1980,0.549192,0.439306
Size_DblN_peak_FshTrawl(1)_DEVmult_1981,-0.382753,0.519653
Size_DblN_peak_FshTrawl(1)_DEVmult_1982,-0.313368,0.503735
Size_DblN_peak_FshTrawl(1)_DEVmult_1983,0.0397463,0.390243
Size_DblN_peak_FshTrawl(1)_DEVmult_1984,-0.424526,0.363849
Size_DblN_peak_FshTrawl(1)_DEVmult_1985,0.707875,0.372255
Size_DblN_peak_FshTrawl(1)_DEVmult_1986,-0.042254,0.863759
Size_DblN_peak_FshTrawl(1)_DEVmult_1987,-0.0016255,0.565086
Size_DblN_peak_FshTrawl(1)_DEVmult_1988,0.0576116,0.414617
Size_DblN_peak_FshTrawl(1)_DEVmult_1989,0.56471,0.540847
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1977,-0.316645,0.684222
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1978,0.0328056,0.646222
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1979,-0.0137106,0.985558
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1980,0.118524,0.485529
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1981,-0.383751,0.760842
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1982,0.0375085,0.542644
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1983,-0.225847,0.449353
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1984,-0.857184,0.453264
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1985,0.373016,0.37916
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1986,0.594553,0.631479
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1987,0.0336584,0.681762
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1988,-0.138463,0.49896
Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1989,0.745674,0.474568
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1977,-3.01756e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1978,-9.37849e-8,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1979,-5.27548e-9,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1980,2.86605e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1981,-3.2718e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1982,1.75734e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1983,1.52573e-6,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1984,2.61966e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1985,-6.10736e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1986,2.84753e-8,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1987,-2.79344e-8,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1988,1.46526e-7,1
Size_DblN_descend_se_FshTrawl(1)_DEVmult_1989,-2.28668e-7,1
Size_DblN_peak_FshLL(2)_DEVmult_1978,-0.368273,0.438031
Size_DblN_peak_FshLL(2)_DEVmult_1979,-0.407132,0.493684
Size_DblN_peak_FshLL(2)_DEVmult_1980,0.0502609,0.458855
Size_DblN_peak_FshLL(2)_DEVmult_1981,-0.533474,0.389132
Size_DblN_peak_FshLL(2)_DEVmult_1982,-0.664581,0.399551
Size_DblN_peak_FshLL(2)_DEVmult_1983,-0.620866,0.365801
Size_DblN_peak_FshLL(2)_DEVmult_1984,0.0169638,0.411082
