YEAR,LENGTH,TOTAL
1993,90,48745
1993,91,54932
1993,92,54714
1993,93,84254
1993,94,58663
1993,95,72922
1993,96,49606
1993,97,37914
1993,98,36293
1993,99,31366
1993,100,55212
1993,101,44224
1993,102,24929
1993,103,7802
1993,104,7215
1993,105,7210
1993,107,7786
1996,8,108704
1996,12,78975
1996,13,235896
1996,14,622898
1996,15,1112675
1996,16,2012866
1996,17,3119369
1996,18,5542338
1996,19,6293439
1996,20,11284045
1996,21,8659466
1996,22,10343715
1996,23,11811361
1996,24,11119638
1996,25,7242174
1996,26,4952676
1996,27,2973646
1996,28,2275641
1996,29,1040542
1996,30,237253
1996,31,849547
1996,32,1296038
1996,33,1878855
1996,34,1675126
1996,35,1485688
1996,36,2294534
1996,37,2960811
1996,38,2971560
1996,39,3758183
1996,40,3872004
1996,41,4389805
1996,42,4492400
1996,43,3835256
1996,44,3665138
1996,45,4123750
1996,46,3616638
1996,47,3712062
1996,48,3243270
1996,49,4468949
1996,50,4793103
1996,51,4343192
1996,52,6017552
1996,53,6408752
1996,54,5574642
1996,55,7315768
1996,56,6485829
1996,57,7532022
1996,58,7959298
1996,59,6765133
1996,60,8327747
1996,61,9550691
1996,62,9868183
1996,63,8262795
1996,64,7335919
1996,65,9465541
1996,66,8339425
1996,67,7044390
1996,68,5644045
1996,69,5839082
1996,70,5084821
1996,71,3460150
1996,72,2420782
1996,73,2000354
1996,74,2833831
1996,75,1278356
1996,76,1404660
1996,77,1012139
1996,78,1082524
1996,79,1117201
1996,80,547340
1996,81,575112
1996,82,494833
1996,83,327369
1996,84,295713
1996,85,256966
1996,86,317434
1996,87,186170
1996,88,145533
1996,89,145432
1996,90,179739
1996,91,283400
1996,92,176764
1996,93,122771
1996,94,22084
1996,95,161610
1996,96,54720
1996,97,109782
1996,98,36897
1996,99,24549
1996,100,78048
1996,101,20915
1996,102,153503
1996,103,43223
1996,104,27876
1996,105,33761
1996,107,21612
1999,11,19016
1999,12,52551
1999,13,32402
1999,14,232797
1999,15,242316
1999,16,410005
1999,17,646091
1999,18,802152
1999,19,952855
1999,20,1162150
1999,21,990207
1999,22,1179343
1999,23,992158
1999,24,666501
1999,25,569828
1999,26,614526
1999,27,533335
1999,28,464033
1999,29,425935
1999,30,761854
1999,31,715752
1999,32,1228166
1999,33,1750818
1999,34,2116247
1999,35,2066080
1999,36,2212126
1999,37,2285182
1999,38,2221755
1999,39,2484016
1999,40,2251278
1999,41,2937007
1999,42,3201063
1999,43,4048844
1999,44,3843967
1999,45,4090956
1999,46,4262776
1999,47,3968134
1999,48,4631483
1999,49,3946093
1999,50,4698408
1999,51,3537860
1999,52,4364313
1999,53,4367163
1999,54,4794663
1999,55,4930146
1999,56,4914707
1999,57,5961070
1999,58,5982218
1999,59,5800847
1999,60,5270707
1999,61,5250409
1999,62,4674700
1999,63,3963875
1999,64,3842858
1999,65,3692909
1999,66,3286680
1999,67,2853264
1999,68,2630287
1999,69,2621149
1999,70,2152924
1999,71,1636002
1999,72,1647269
1999,73,1392937
1999,74,1089314
1999,75,723824
1999,76,702269
1999,77,692528
1999,78,643024
1999,79,434519
1999,80,201717
1999,81,209828
1999,82,360726
1999,83,238415
1999,84,98366
1999,85,216053
1999,86,57080
1999,87,57095
1999,88,40578
