YEAR,LENGTH,TOTAL
2023,77,645569
2023,78,669231
2023,79,437779
2023,80,437812
2023,81,382237
2023,82,340841
2023,83,119149
2023,84,165572
2023,85,107981
2023,86,123064
2023,87,48025
2023,88,19577
2023,89,50043
2023,90,65591
2023,91,15392
2023,93,63630
2023,94,15392
2023,95,18457
2023,96,15350
2023,97,35546
