TONS,ZONE,GEAR,TYPE,YEAR,MONTH,SPECIES_GROUP
4.29,CG,JIG,R,1996,1,PCOD
1.95,WY,HAL,R,1996,6,PCOD
0.12,PWSI,HAL,D,1996,1,PCOD
0.14,SE,JIG,R,1996,3,PCOD
6.64,WG,TRW,R,1996,7,PCOD
0.05,PWSI,HAL,R,1996,8,PCOD
0.34,CG,POT,R,1996,6,PCOD
0.21,SE,HAL,D,1996,12,PCOD
16.02,PWSI,POT,R,1996,3,PCOD
44.11,WG,TRW,R,1997,7,PCOD
7078.02,WG,TRW,R,1997,2,PCOD
23.18,CG,HAL,D,1997,5,PCOD
1043.86,CG,HAL,R,1997,1,PCOD
6.97,CG,HAL,D,1997,4,PCOD
10.29,WY,HAL,D,1997,5,PCOD
4.09,WG,TRW,D,1997,7,PCOD
187.48,CG,HAL,R,1997,10,PCOD
104.8,CG,HAL,D,1997,2,PCOD
13.8,SEI,HAL,R,1997,9,PCOD
13.67,SEI,HAL,R,1997,4,PCOD
23.37,SEI,HAL,R,1997,12,PCOD
14.75,SEI,HAL,R,1997,3,PCOD
0.15,CG,TRW,R,1997,12,PCOD
0.56,WY,HAL,R,1997,8,PCOD
12.19,WY,POT,R,1997,3,PCOD
0.1,WY,HAL,R,1997,11,PCOD
0.14,PWSI,HAL,D,1997,8,PCOD
7.5,WG,HAL,R,1997,6,PCOD
0.24,SEI,HAL,D,1997,9,PCOD
1.06,SEI,HAL,D,1997,10,PCOD
0.18,SE,JIG,R,1997,5,PCOD
0.02,PWSI,JIG,R,1997,8,PCOD
32.07,PWSI,HAL,R,1997,2,PCOD
0.15,PWSI,TRW,R,1997,1,PCOD
2.65,WY,POT,D,1997,1,PCOD
3.51,WG,JIG,R,1997,3,PCOD
0.91,WG,HAL,R,1997,12,PCOD
0,PWSI,POT,D,1997,9,PCOD
23.71,WY,TRW,R,1998,7,PCOD
0.77,SEI,HAL,D,1998,4,PCOD
110.67,WG,TRW,R,1998,10,PCOD
0.38,SEI,HAL,D,1998,1,PCOD
34.03,SEI,HAL,R,1998,5,PCOD
2.42,CG,HAL,D,1998,3,PCOD
1.35,WG,HAL,D,1998,5,PCOD
7.89,WG,HAL,D,1998,8,PCOD
0.07,SE,HAL,D,1998,5,PCOD
4.81,SE,HAL,D,1998,11,PCOD
1.22,SE,HAL,R,1998,6,PCOD
1.34,WY,HAL,R,1998,7,PCOD
369.56,CG,TRW,D,1998,7,PCOD
411.69,CG,TRW,D,1998,3,PCOD
146.81,CG,TRW,D,1998,8,PCOD
0.05,PWSI,TRW,D,1998,1,PCOD
0.7,PWSI,HAL,R,1998,11,PCOD
0.11,PWSI,HAL,R,1998,8,PCOD
0.01,PWSI,HAL,D,1998,6,PCOD
1.72,WG,HAL,R,1998,8,PCOD
1.41,WY,HAL,D,1998,7,PCOD
0.11,SE,HAL,R,1998,10,PCOD
4.29,WG,TRW,D,1998,1,PCOD
4.02,WG,POT,D,1998,1,PCOD
116.16,PWSI,TRW,R,1998,2,PCOD
13.85,WG,TRW,R,1998,4,PCOD
794.55,CG,TRW,R,1999,7,PCOD
8462.95,CG,TRW,R,1999,3,PCOD
49.4,CG,TRW,D,1999,4,PCOD
279.98,CG,TRW,D,1999,10,PCOD
782.19,CG,POT,R,1999,8,PCOD
272.27,WG,POT,R,1999,4,PCOD
32.48,CG,HAL,D,1999,7,PCOD
0.69,WY,HAL,R,1999,6,PCOD
21.63,CG,HAL,R,1999,4,PCOD
25.98,CG,HAL,R,1999,10,PCOD
77.39,CG,TRW,R,1999,6,PCOD
140.49,CG,POT,D,1999,2,PCOD
0.94,CG,HAL,D,1999,11,PCOD
1.7,SE,HAL,D,1999,9,PCOD
2.58,WY,TRW,R,1999,8,PCOD
11.62,CG,TRW,R,1999,5,PCOD
0.03,WG,HAL,D,1999,10,PCOD
4.59,CG,JIG,R,1999,3,PCOD
42.07,WG,TRW,R,1999,8,PCOD
27.25,WG,TRW,R,1999,7,PCOD
0.06,WG,TRW,D,1999,7,PCOD
0.14,PWSI,JIG,R,1999,6,PCOD
69.2,PWSI,HAL,R,1999,1,PCOD
0.79,CG,JIG,R,1999,10,PCOD
0.16,PWSI,HAL,D,1999,5,PCOD
0.05,PWSI,HAL,D,1999,4,PCOD
45.25,PWSI,POT,R,1999,1,PCOD
0.39,WY,HAL,R,1999,1,PCOD
1.5,SE,HAL,R,2000,7,PCOD
4273.55,WG,TRW,R,2000,3,PCOD
0.56,SE,HAL,R,2000,10,PCOD
2036.65,CG,HAL,R,2000,1,PCOD
823.44,WG,HAL,R,2000,3,PCOD
89.05,CG,TRW,D,2000,5,PCOD
509.56,CG,TRW,R,2000,8,PCOD
207.92,CG,TRW,D,2000,8,PCOD
2298.29,CG,TRW,R,2000,3,PCOD
26.59,CG,JIG,R,2000,2,PCOD
989.24,CG,HAL,R,2000,3,PCOD
4.26,CG,TRW,R,2000,9,PCOD
0,WY,POT,D,2000,4,PCOD
16.55,PWSI,HAL,R,2000,3,PCOD
0.28,PWSI,HAL,D,2000,8,PCOD
0.21,SE,HAL,D,2000,3,PCOD
0.01,CG,TRW,D,2000,1,PCOD
0.56,SE,HAL,D,2000,2,PCOD
17.77,SE,HAL,R,2000,1,PCOD
9.63,CG,TRW,D,2000,11,PCOD
1.67,SEI,HAL,R,2000,7,PCOD
7.09,WY,TRW,R,2000,4,PCOD
7.68,WG,HAL,D,2000,1,PCOD
2.42,WY,HAL,D,2000,10,PCOD
2.03,SEI,HAL,R,2000,11,PCOD
13.9,SEI,HAL,R,2000,1,PCOD
3.69,WY,HAL,R,2000,8,PCOD
1.38,SE,HAL,R,2000,12,PCOD
0.51,WY,HAL,R,2000,7,PCOD
1.31,WG,HAL,D,2000,4,PCOD
14.63,WG,POT,D,2000,1,PCOD
0.12,SEI,HAL,D,2000,1,PCOD
0.04,SE,JIG,R,2000,4,PCOD
0,WY,POT,D,2000,10,PCOD
28.17,WY,POT,R,2000,10,PCOD
43.18,PWSI,POT,R,2000,2,PCOD
624.6,WG,TRW,R,2001,10,PCOD
59.66,WG,TRW,R,2001,9,PCOD
3669.65,CG,HAL,R,2001,2,PCOD
36.77,CG,HAL,D,2001,1,PCOD
0.55,SEI,HAL,D,2001,9,PCOD
0.3,SEI,HAL,D,2001,1,PCOD
252.4,CG,POT,R,2001,9,PCOD
2.84,CG,HAL,D,2001,9,PCOD
0,WG,HAL,D,2001,5,PCOD
12.67,CG,HAL,R,2001,10,PCOD
58.45,WG,JIG,R,2001,10,PCOD
4.97,WG,POT,D,2001,9,PCOD
1064.09,CG,TRW,R,2001,9,PCOD
11.68,WG,HAL,R,2001,6,PCOD
1.02,PWSI,HAL,R,2001,7,PCOD
0.25,CG,HAL,D,2001,10,PCOD
110.37,CG,POT,D,2001,1,PCOD
0.6,SE,HAL,R,2001,3,PCOD
546.01,CG,TRW,R,2001,1,PCOD
133.05,CG,TRW,R,2001,8,PCOD
11.6,WG,HAL,D,2001,1,PCOD
887.26,WG,POT,R,2001,2,PCOD
0.48,WY,HAL,D,2001,4,PCOD
0.1,WY,TRW,R,2001,7,PCOD
90.52,CG,POT,R,2001,12,PCOD
0.38,WY,TRW,D,2002,4,PCOD
1.3,WG,HAL,R,2002,8,PCOD
414.52,CG,TRW,R,2002,5,PCOD
1.35,SEI,HAL,R,2002,9,PCOD
0.7,SEI,HAL,R,2002,8,PCOD
2.43,SEI,HAL,R,2002,3,PCOD
0.68,SE,HAL,R,2002,4,PCOD
0.54,SE,HAL,R,2002,3,PCOD
20.7,WY,POT,R,2002,3,PCOD
9.56,WG,HAL,R,2002,4,PCOD
524.41,CG,TRW,D,2002,10,PCOD
2.88,WY,HAL,R,2002,3,PCOD
11.21,WG,HAL,R,2002,5,PCOD
0.13,WG,TRW,D,2002,6,PCOD
27.634,CG,HAL,R,2003,6,PCOD
41.89,CG,HAL,R,2003,5,PCOD
9.632,CG,HAL,D,2003,5,PCOD
7.49,SE,HAL,D,2003,8,PCOD
4.734,SE,HAL,D,2003,6,PCOD
14.943,WG,HAL,D,2003,1,PCOD
3.173,SEI,HAL,R,2003,5,PCOD
177.754,CG,TRW,R,2003,6,PCOD
414.466,CG,TRW,R,2003,5,PCOD
133.853,CG,TRW,D,2003,8,PCOD
46.067,WG,JIG,R,2003,9,PCOD
1442.103,CG,POT,R,2003,1,PCOD
2966.704,CG,POT,R,2003,2,PCOD
1.227,SEI,HAL,R,2003,2,PCOD
22.17,CG,JIG,R,2003,6,PCOD
87.419,WG,TRW,R,2003,3,PCOD
0.081,WG,HAL,D,2003,11,PCOD
70.102,WG,POT,R,2003,4,PCOD
16.831,CG,POT,R,2003,11,PCOD
0.122,WY,HAL,D,2003,10,PCOD
0.014,PWSI,TRW,R,2003,2,PCOD
0.027,PWSI,HAL,R,2003,4,PCOD
0.036,CG,POT,D,2003,1,PCOD
0.049,WY,HAL,R,2003,3,PCOD
10.613,CG,POT,R,2003,12,PCOD
0.002,SE,HAL,D,2003,5,PCOD
3.345,SE,HAL,D,2004,6,PCOD
2623.722,WG,POT,R,2004,1,PCOD
31.625,CG,HAL,R,2004,5,PCOD
0.43,SEI,HAL,D,2004,6,PCOD
345.085,WG,POT,R,2004,10,PCOD
894.444,CG,JIG,R,2004,3,PCOD
84.169,CG,TRW,D,2004,7,PCOD
241.597,CG,HAL,R,2004,10,PCOD
0.009,PWSI,HAL,D,2004,6,PCOD
321.275,CG,TRW,R,2004,4,PCOD
0.261,WG,TRW,D,2004,1,PCOD
0.229,SEI,HAL,D,2004,7,PCOD
3.161,WY,HAL,R,2004,5,PCOD
0.06,CG,JIG,R,2004,8,PCOD
74.648,CG,JIG,R,2004,1,PCOD
757.737,CG,POT,R,2004,3,PCOD
128.155,WG,TRW,R,2004,3,PCOD
3.687,WG,HAL,R,2004,11,PCOD
9.658,WG,JIG,R,2004,5,PCOD
0.159,WG,TRW,D,2004,2,PCOD
1.168,WG,TRW,D,2004,6,PCOD
1.101,CG,POT,D,2004,10,PCOD
