TONS,ZONE,GEAR,TYPE,YEAR,MONTH,SPECIES_GROUP
238.0022877576,CG,TRW,R,2016,8,PCOD
935.4149041252,WG,HAL,R,2016,2,PCOD
5.3169875,CG,TRW,D,2016,12,PCOD
1.2977729428,WY,HAL,D,2016,10,PCOD
0.18353,WG,TRW,D,2016,11,PCOD
0.5811595022,WY,HAL,D,2017,4,PCOD
11.6869521494,WG,TRW,R,2017,10,PCOD
3248.9188993396,CG,POT,R,2017,2,PCOD
3552.46135817,WG,POT,R,2017,2,PCOD
4.0510220596,WG,POT,D,2017,2,PCOD
6796.6343760835,WG,POT,R,2017,3,PCOD
5.4685776037,CG,POT,D,2017,2,PCOD
3532.0663733532,WG,TRW,R,2017,2,PCOD
8.1087128314,SEI,HAL,D,2017,10,PCOD
44.1580410913,SEI,HAL,R,2017,1,PCOD
932.6338870558,CG,HAL,R,2017,2,PCOD
0.004403924,SE,POT,D,2017,6,PCOD
0.5962692446,WY,HAL,D,2017,9,PCOD
0.3694923846,PWSI,HAL,D,2017,8,PCOD
1.0859578872,PWSI,HAL,D,2017,4,PCOD
2.4015059299,WG,HAL,D,2017,12,PCOD
1.2688441262,WY,HAL,D,2017,7,PCOD
4.7120130328,SEI,HAL,R,2017,12,PCOD
90.6641817703,PWSI,HAL,R,2017,2,PCOD
0.1278061626,PWSI,HAL,D,2017,3,PCOD
10.7827375239,CG,TRW,D,2017,7,PCOD
244.834350147,CG,HAL,R,2017,12,PCOD
0.0019902522,CG,JIG,R,2017,7,PCOD
14.3848255294,CG,TRW,D,2017,5,PCOD
1.7180968137,WG,HAL,R,2017,6,PCOD
25.1927876527,WG,HAL,D,2018,9,PCOD
44.4038788988,CG,HAL,R,2018,9,PCOD
62.8206918479,WG,JIG,R,2018,9,PCOD
18.515977024,CG,HAL,D,2018,9,PCOD
12.4709264984,CG,HAL,R,2018,8,PCOD
3.6486941912,CG,TRW,D,2018,9,PCOD
24.1947334866,CG,HAL,D,2018,11,PCOD
518.1759216933,CG,TRW,R,2018,10,PCOD
7.3271848848,SEI,HAL,R,2018,4,PCOD
1.7537332597,PWSI,HAL,R,2018,4,PCOD
1.1594523153,WG,HAL,D,2018,11,PCOD
3.8962954491,SEI,HAL,R,2018,9,PCOD
452.3687258975,WG,POT,R,2018,2,PCOD
0.3159972846,SEI,HAL,D,2018,2,PCOD
1.6660447751,SE,HAL,R,2018,5,PCOD
0.5978347436,SE,HAL,R,2018,7,PCOD
1.1336634101,SE,HAL,R,2018,8,PCOD
8.4624623321,CG,HAL,R,2018,5,PCOD
0.1294173995,PWSI,HAL,D,2018,11,PCOD
161.6297726101,CG,POT,R,2018,12,PCOD
0.2998245566,CG,TRW,R,2018,1,PCOD
0.0036287388,WY,HAL,R,2018,11,PCOD
9.3516118218,CG,POT,D,2018,10,PCOD
0.0500508668,CG,POT,D,2018,1,PCOD
0.1119413,WG,TRW,D,2018,8,PCOD
0.0299370964,SE,HAL,R,2018,11,PCOD
30.7719421617,CG,HAL,R,2019,4,PCOD
3.4356382078,CG,HAL,R,2019,11,PCOD
111.7624476709,CG,TRW,R,2019,11,PCOD
17.2756935107,CG,HAL,D,2019,9,PCOD
2139.3808452373,WG,POT,R,2019,3,PCOD
3.2396863041,PWSI,HAL,R,2019,9,PCOD
20.5861123344,CG,HAL,D,2019,10,PCOD
9.1214547768,PWSI,HAL,D,2019,11,PCOD
1.8077071716,SEI,HAL,R,2019,8,PCOD
2.6065854356,CG,HAL,D,2019,7,PCOD
44.3973585761,WG,HAL,D,2019,9,PCOD
1.5095253221,WG,HAL,R,2019,7,PCOD
0.0176901025,WY,TRW,R,2019,2,PCOD
72.7228724802,CG,POT,R,2019,12,PCOD
1.2143592476,WY,HAL,D,2019,10,PCOD
0.0045359237,SE,POT,R,2019,10,PCOD
9.1974573419,WG,JIG,R,2019,7,PCOD
40.0228037181,SE,HAL,D,2020,4,PCOD
3.1275071586,SEI,HAL,D,2020,8,PCOD
0.8123867115,SEI,HAL,R,2020,6,PCOD
270.4646425552,CG,POT,R,2020,2,PCOD
607.9139897461,CG,TRW,R,2020,9,PCOD
0.3094274976,SE,HAL,D,2020,6,PCOD
2.6618267669,PWSI,HAL,R,2020,9,PCOD
3.5884628581,SEI,HAL,D,2020,11,PCOD
39.0663371402,CG,POT,R,2020,12,PCOD
13.7170868613,WG,TRW,R,2020,3,PCOD
0.2041165663,SEI,HAL,R,2020,7,PCOD
0.9629766012,SE,HAL,R,2020,8,PCOD
0.1768103058,SE,HAL,R,2020,3,PCOD
13.5698846226,CG,TRW,D,2020,2,PCOD
0.60274575,WG,POT,D,2020,9,PCOD
2.3474943677,CG,TRW,D,2020,1,PCOD
0.0074842741,WG,HAL,R,2020,11,PCOD
0.3254738764,WG,POT,D,2020,8,PCOD
1.991427873,PWSI,HAL,R,2020,8,PCOD
0.3709922737,WY,HAL,R,2020,3,PCOD
1.750095e-4,WG,HAL,D,2020,3,PCOD
34.3133908103,CG,TRW,D,2020,7,PCOD
0.4102405106,WY,HAL,R,2020,9,PCOD
0.0365650992,SEI,JIG,R,2020,4,PCOD
0.1400896172,CG,POT,D,2020,8,PCOD
0.580378831,WG,POT,D,2020,11,PCOD
2.7021602851,CG,HAL,D,2020,2,PCOD
0.3507375415,PWSI,HAL,D,2020,11,PCOD
4.7860077,WG,TRW,D,2020,8,PCOD
72.1327580635,WG,JIG,R,2021,4,PCOD
264.4374755508,CG,TRW,D,2021,7,PCOD
194.498140294,CG,TRW,R,2021,11,PCOD
3.5736779915,SE,HAL,D,2021,9,PCOD
2.1289360923,CG,HAL,D,2021,12,PCOD
1.3050189575,SE,HAL,R,2021,6,PCOD
405.8071488246,CG,TRW,R,2021,10,PCOD
1.4452586887,SE,HAL,R,2021,10,PCOD
0.1183876086,SE,HAL,R,2021,3,PCOD
7.6466710895,SEI,HAL,D,2021,9,PCOD
5.7628021687,SEI,HAL,R,2021,4,PCOD
640.5011430364,CG,HAL,R,2021,3,PCOD
5.6423234316,WG,HAL,R,2021,9,PCOD
0.0220167089,SE,POT,D,2021,10,PCOD
6.3007127568,WG,HAL,R,2021,7,PCOD
0.0725000366,SE,POT,D,2021,5,PCOD
1.5919680229,WG,POT,D,2021,11,PCOD
1.1254644967,WG,HAL,R,2021,8,PCOD
18.046657546,SEI,HAL,R,2021,12,PCOD
938.2771084153,CG,POT,R,2021,3,PCOD
0.0081646627,PWSI,TRW,R,2021,1,PCOD
199.4246810806,WG,POT,R,2021,10,PCOD
0.5605192734,PWSI,HAL,D,2021,11,PCOD
0.0410411164,WY,POT,D,2021,12,PCOD
0.0018778306,SE,POT,D,2021,11,PCOD
0.3401942775,WG,POT,R,2021,7,PCOD
0.0022679618,SE,POT,R,2021,9,PCOD
0.9342545193,CG,POT,D,2021,9,PCOD
0.0045359237,WY,TRW,R,2021,4,PCOD
0.4181125582,CG,TRW,D,2021,2,PCOD
8.171767e-4,WY,POT,D,2021,8,PCOD
0.355638927,SEI,HAL,D,2021,12,PCOD
0.5938125828,PWSI,JIG,R,2021,2,PCOD
0.007713,WY,TRW,D,2021,7,PCOD
18.9800635883,WG,JIG,R,2021,7,PCOD
0.0022216769,PWSI,HAL,R,2021,11,PCOD
11.1278242443,CG,JIG,R,2021,7,PCOD
0.3079156,WG,TRW,D,2021,8,PCOD
12.0100276412,CG,HAL,D,2022,6,PCOD
1099.9536942212,CG,TRW,R,2022,4,PCOD
196.9432907671,CG,HAL,D,2022,9,PCOD
284.7342789786,CG,JIG,R,2022,4,PCOD
167.9594763217,CG,HAL,R,2022,11,PCOD
73.6540374449,PWSI,HAL,R,2022,4,PCOD
1.710432028,SEI,HAL,R,2022,9,PCOD
0.3300078663,SEI,HAL,D,2022,12,PCOD
72.7645073921,WG,TRW,R,2022,9,PCOD
22.2491593409,SEI,HAL,R,2022,3,PCOD
360.9868591709,WG,TRW,R,2022,3,PCOD
830.68105477460006,WG,POT,R,2022,2,PCOD
14.3661801898,WG,POT,D,2022,2,PCOD
0.4701979238,WY,TRW,R,2022,3,PCOD
0.1256450864,PWSI,TRW,R,2022,1,PCOD
7.1462343911,WG,TRW,R,2022,10,PCOD
15.2375253264,PWSI,HAL,D,2022,8,PCOD
35.4086265,WG,TRW,R,2022,8,PCOD
5.9033595,WG,TRW,D,2022,7,PCOD
4.8755440438,PWSI,HAL,R,2022,6,PCOD
188.9527497,CG,TRW,R,2022,5,PCOD
75.3111445992,CG,HAL,R,2022,1,PCOD
22.7376776588,CG,TRW,D,2022,2,PCOD
327.7473493996,WG,HAL,R,2022,10,PCOD
0.0204116566,WY,TRW,R,2022,4,PCOD
0.2588833092,WY,HAL,R,2022,3,PCOD
42.2765873605,CG,TRW,R,2022,8,PCOD
16.8185570905,WG,JIG,R,2022,8,PCOD
455.4343434344,WG,HAL,R,2022,2,PCOD
0.0321035872,WY,POT,D,2022,9,PCOD
0.9979032139,WG,POT,R,2022,7,PCOD
0.0134348013,SE,POT,D,2022,11,PCOD
0.7903665383,WY,HAL,D,2022,11,PCOD
0.0213188414,SE,HAL,R,2022,11,PCOD
0.2013950123,WG,POT,R,2022,11,PCOD
0.0934321485,WG,POT,D,2022,7,PCOD
0.0540854404,PWSI,HAL,D,2022,1,PCOD
861.2418499598,WG,TRW,R,2023,2,PCOD
24.4916989031,PWSI,HAL,D,2023,5,PCOD
2.1054818132,PWSI,HAL,D,2023,2,PCOD
84.4167337174,WY,HAL,R,2023,3,PCOD
2.091514418,SE,HAL,R,2023,3,PCOD
9.1094918641,WY,HAL,R,2023,5,PCOD
0.015,WG,POT,D,2023,8,PCOD
172.3789860803,WG,POT,R,2023,2,PCOD
0.0454518069,WY,POT,R,2023,5,PCOD
0.0762035182,WY,TRW,R,2023,4,PCOD
1.2356448542,CG,TRW,D,2023,2,PCOD
255.0917691688,CG,TRW,R,2023,6,PCOD
40.1036076813,CG,HAL,D,2023,4,PCOD
268.5997854672,CG,POT,R,2023,4,PCOD
0.0530703072,SE,POT,R,2023,7,PCOD
5.122747104,WY,HAL,D,2023,8,PCOD
234.1150949066,CG,TRW,D,2023,7,PCOD
1.8086995753,SE,HAL,R,2023,6,PCOD
81.0120601309,WG,JIG,R,2023,3,PCOD
0.0113667781,SEI,POT,D,2023,7,PCOD
0.0509322422,CG,POT,D,2023,7,PCOD
0.8,WY,JIG,R,1991,10,PCOD
412.56,CG,TRW,R,1991,10,PCOD
40.06,CG,TRW,D,1991,10,PCOD
5762.27,CG,TRW,R,1991,4,PCOD
0.64,CG,TRW,R,1991,11,PCOD
16.17,CG,JIG,R,1991,11,PCOD
16.19,CG,JIG,R,1991,4,PCOD
32.17,WG,TRW,D,1991,1,PCOD
56.02,CG,HAL,R,1991,6,PCOD
6.86,CG,JIG,R,1991,3,PCOD
47.65,WG,TRW,D,1991,10,PCOD
16.31,WG,HAL,R,1991,6,PCOD
0.29,WG,TRW,D,1991,5,PCOD
51.19,CG,POT,D,1992,2,PCOD
422.12,CG,TRW,R,1992,7,PCOD
48.4,CG,JIG,R,1992,8,PCOD
231.16,WG,TRW,D,1992,2,PCOD
44.07,CG,HAL,R,1992,5,PCOD
50.98,CG,HAL,R,1992,6,PCOD
26.08,CG,HAL,D,1992,9,PCOD
23.36,CG,HAL,D,1992,10,PCOD
296.85,CG,POT,R,1992,1,PCOD
25.79,WG,TRW,D,1992,7,PCOD
8.19,WY,TRW,R,1992,7,PCOD
7.42,WY,HAL,R,1992,5,PCOD
68.1,CG,TRW,R,1992,11,PCOD
25.1,WY,HAL,D,1992,5,PCOD
2.22,WG,POT,R,1992,8,PCOD
8.22,SE,HAL,R,1992,10,PCOD
15.59,PWSI,HAL,R,1992,1,PCOD
55.48,CG,OTH,R,1992,3,PCOD
59.94,CG,OTH,R,1992,2,PCOD
1.32,SEI,HAL,D,1992,12,PCOD
4.79,WG,OTH,R,1992,3,PCOD
1.66,CG,POT,D,1992,1,PCOD
20.34,PWSI,HAL,R,1992,10,PCOD
0.16,CG,JIG,R,1992,10,PCOD
0.07,SE,HAL,D,1992,10,PCOD
3.46,PWSI,HAL,D,1992,6,PCOD
0.11,PWSI,HAL,D,1992,4,PCOD
0.05,PWSI,POT,D,1992,4,PCOD
0.1,PWSI,POT,D,1992,1,PCOD
0.63,SE,HAL,D,1993,6,PCOD
3.82,SE,HAL,R,1993,2,PCOD
1.22,SE,HAL,R,1993,10,PCOD
0.06,SEI,HAL,D,1993,8,PCOD
0.15,WY,TRW,D,1993,5,PCOD
0,CG,POT,D,1993,1,PCOD
6.39,SEI,HAL,R,1993,5,PCOD
0.62,SEI,HAL,D,1993,12,PCOD
313.8,CG,TRW,R,1993,1,PCOD
0.02,WY,HAL,D,1993,8,PCOD
0.09,WY,TRW,D,1993,10,PCOD
0.45,SEI,HAL,D,1993,11,PCOD
205.35,WG,POT,R,1993,2,PCOD
0.1,SE,HAL,R,1993,7,PCOD
49.56,WG,TRW,D,1993,6,PCOD
0.04,PWSI,HAL,D,1993,1,PCOD
1.14,CG,JIG,R,1993,2,PCOD
962.96,WG,HAL,R,1994,3,PCOD
0.04,CG,HAL,R,1994,6,PCOD
565.96,CG,TRW,D,1994,7,PCOD
397.99,CG,TRW,D,1994,10,PCOD
8.72,WG,TRW,D,1994,1,PCOD
5.42,WY,HAL,D,1994,5,PCOD
17.66,CG,POT,D,1994,2,PCOD
41.92,CG,HAL,D,1994,3,PCOD
2.44,SE,HAL,D,1994,6,PCOD
17.9,WG,TRW,R,1994,6,PCOD
68.87,PWSI,HAL,R,1994,2,PCOD
0.36,SEI,HAL,R,1994,10,PCOD
6.05,PWSI,HAL,R,1994,6,PCOD
1.03,WG,POT,D,1994,12,PCOD
0.38,SEI,HAL,R,1994,8,PCOD
0.18,SEI,HAL,D,1994,4,PCOD
3.94,PWSI,HAL,D,1994,3,PCOD
0.5,SEI,HAL,D,1994,2,PCOD
0.12,SE,HAL,D,1994,8,PCOD
1.44,SEI,HAL,D,1994,10,PCOD
0.3,SE,HAL,D,1994,10,PCOD
0.04,WG,TRW,D,1994,8,PCOD
3.59,WG,POT,R,1994,9,PCOD
184.15,PWSI,POT,R,1994,3,PCOD
0.15,PWSI,HAL,D,1994,6,PCOD
0.18,PWSI,JIG,R,1994,3,PCOD
6.81,SE,HAL,R,1995,1,PCOD
31.82,CG,POT,R,1995,8,PCOD
849.81,WG,POT,R,1995,3,PCOD
30.37,WG,POT,D,1995,3,PCOD
3.71,WG,HAL,D,1995,5,PCOD
9.39,SE,HAL,D,1995,9,PCOD
25.98,CG,HAL,R,1995,5,PCOD
0.01,PWSI,HAL,R,1995,11,PCOD
0,PWSI,HAL,D,1995,8,PCOD
0.5,SE,HAL,R,1995,4,PCOD
328.59,WG,POT,R,1995,2,PCOD
7.65,WG,POT,D,1995,2,PCOD
49.7,WG,HAL,D,1995,4,PCOD
0.8,WG,HAL,D,1995,11,PCOD
16.51,WG,TRW,D,1995,10,PCOD
10.09,CG,TRW,D,1995,1,PCOD
37.98,CG,TRW,D,1995,2,PCOD
5.66,SEI,HAL,R,1995,11,PCOD
122.63,CG,TRW,D,1995,5,PCOD
418.15,CG,TRW,D,1995,4,PCOD
61.7,PWSI,POT,R,1995,1,PCOD
134.7,PWSI,POT,R,1995,4,PCOD
6.1,WG,HAL,R,1995,11,PCOD
0.36,SEI,HAL,D,1995,5,PCOD
1001.51,WG,HAL,R,1995,1,PCOD
0.3,PWSI,POT,D,1995,4,PCOD
0.29,PWSI,JIG,R,1995,5,PCOD
22.13,CG,TRW,R,1995,6,PCOD
0,CG,POT,D,1995,4,PCOD
5.06,WY,TRW,D,1995,10,PCOD
2.97,PWSI,POT,R,1995,6,PCOD
0.53,WG,JIG,D,1995,3,PCOD
0.07,WG,JIG,D,1995,2,PCOD
0.02,SEI,HAL,D,1995,7,PCOD
3.82,WY,TRW,R,1995,10,PCOD
0.16,WG,TRW,D,1995,9,PCOD
27.94,WG,POT,R,1995,9,PCOD
3.83,CG,POT,D,1996,2,PCOD
5469.66,WG,TRW,R,1996,3,PCOD
0.26,WG,POT,D,1996,1,PCOD
0.13,SE,HAL,D,1996,10,PCOD
0.42,SE,HAL,D,1996,11,PCOD
24.19,CG,HAL,D,1996,1,PCOD
11.36,CG,HAL,R,1996,4,PCOD
10.37,SEI,HAL,R,1996,3,PCOD
4.75,SEI,HAL,D,1996,5,PCOD
0.42,WY,HAL,D,1996,10,PCOD
2.49,SE,HAL,R,1996,4,PCOD
0.29,SEI,HAL,D,1996,4,PCOD
779.56,CG,TRW,D,1996,5,PCOD
2.22,SE,HAL,R,1996,12,PCOD
544,WY,TRW,D,1996,7,PCOD
2.68,WG,TRW,R,1996,4,PCOD
0.68,CG,JIG,R,1996,2,PCOD
0.1,CG,HAL,R,1996,6,PCOD
33.14,WY,POT,R,1996,3,PCOD
0.02,PWSI,HAL,D,1996,4,PCOD
7.28,CG,TRW,D,1996,12,PCOD
45.48,CG,HAL,D,1997,3,PCOD
3202.91,CG,POT,R,1997,2,PCOD
131.2,CG,HAL,R,1997,4,PCOD
4332.73,CG,TRW,R,1997,2,PCOD
401.14,CG,TRW,D,1997,8,PCOD
14.47,WG,HAL,D,1997,6,PCOD
1.91,SEI,HAL,D,1997,6,PCOD
1.2,SEI,HAL,R,1997,1,PCOD
10.38,CG,HAL,D,1997,10,PCOD
5.88,WY,TRW,D,1997,10,PCOD
0.02,SE,TRW,D,1997,11,PCOD
0.09,PWSI,HAL,R,1997,7,PCOD
1.87,PWSI,HAL,R,1997,8,PCOD
0.01,SE,JIG,R,1997,6,PCOD
1.22,SE,HAL,R,1997,10,PCOD
6.45,SE,HAL,D,1997,8,PCOD
0.08,WG,POT,D,1997,3,PCOD
8.14,WG,HAL,D,1997,11,PCOD
3.73,WG,TRW,D,1997,1,PCOD
0.12,WG,TRW,D,1997,10,PCOD
7.45,PWSI,HAL,D,1997,2,PCOD
1.66,PWSI,JIG,R,1997,10,PCOD
0,SE,HAL,D,1997,11,PCOD
0.03,SE,HAL,D,1997,1,PCOD
0.01,PWSI,HAL,D,1997,9,PCOD
0,CG,POT,D,1997,6,PCOD
4.03,SEI,HAL,R,1998,8,PCOD
24.57,CG,HAL,D,1998,1,PCOD
54.66,CG,HAL,R,1998,11,PCOD
56.66,CG,HAL,D,1998,2,PCOD
26.91,SEI,HAL,R,1998,2,PCOD
0.1,SEI,HAL,D,1998,3,PCOD
1156.02,CG,HAL,R,1998,3,PCOD
3.06,CG,POT,D,1998,2,PCOD
4407.24,CG,POT,R,1998,2,PCOD
2316.91,CG,POT,R,1998,1,PCOD
5.25,PWSI,JIG,R,1998,5,PCOD
0.24,PWSI,HAL,R,1998,4,PCOD
0.25,WY,HAL,R,1998,5,PCOD
11677.23,CG,TRW,R,1998,3,PCOD
51.39,PWSI,HAL,R,1998,3,PCOD
4.41,WG,HAL,R,1998,10,PCOD
0.86,WG,TRW,D,1998,10,PCOD
23,WG,TRW,R,1998,6,PCOD
40.42,WG,TRW,R,1998,7,PCOD
2.17,WY,HAL,D,1998,9,PCOD
0.62,WY,TRW,D,1998,3,PCOD
0.01,SE,JIG,R,1998,3,PCOD
0.16,SE,JIG,R,1998,5,PCOD
12.02,SE,TRW,R,1998,7,PCOD
63.96,PWSI,POT,R,1998,3,PCOD
179.57,CG,TRW,D,1999,3,PCOD
252.72,CG,TRW,R,1999,8,PCOD
66.99,CG,HAL,R,1999,5,PCOD
445.57,WG,POT,R,1999,2,PCOD
3.23,SE,HAL,R,1999,4,PCOD
0.02,PWSI,HAL,D,1999,7,PCOD
4.57,SEI,HAL,R,1999,9,PCOD
4226.36,CG,POT,R,1999,1,PCOD
0.69,WG,HAL,R,1999,10,PCOD
0.07,SE,HAL,D,1999,10,PCOD
0.21,WG,HAL,D,1999,11,PCOD
0,WY,HAL,R,1999,10,PCOD
1.89,PWSI,JIG,R,1999,5,PCOD
6.22,WG,TRW,D,1999,8,PCOD
0.06,WG,TRW,R,1999,5,PCOD
20.73,WY,TRW,R,1999,7,PCOD
0.22,WG,HAL,D,1999,8,PCOD
0.06,SE,JIG,R,1999,4,PCOD
10.47,CG,JIG,R,1999,9,PCOD
1.91,WY,JIG,R,1999,3,PCOD
1.63,CG,POT,D,1999,9,PCOD
1.33,SE,HAL,D,1999,1,PCOD
18.58,SE,HAL,R,1999,1,PCOD
0.25,SEI,HAL,D,1999,2,PCOD
1.37,CG,TRW,D,1999,5,PCOD
0.05,WY,TRW,D,1999,2,PCOD
0.06,PWSI,POT,R,1999,10,PCOD
95.62,PWSI,POT,R,1999,4,PCOD
0.22,WY,TRW,R,1999,10,PCOD
0.64,CG,POT,D,2000,2,PCOD
1.43,SE,HAL,D,2000,7,PCOD
2677.78,WG,HAL,R,2000,2,PCOD
112.6,CG,POT,R,2000,6,PCOD
7.47,WY,TRW,R,2000,7,PCOD
6.04,WG,TRW,D,2000,4,PCOD
3.25,CG,HAL,D,2000,10,PCOD
4.74,CG,HAL,R,2000,11,PCOD
19.52,CG,HAL,R,2000,10,PCOD
2.92,CG,HAL,D,2000,1,PCOD
26.85,CG,HAL,R,2000,9,PCOD
6.06,CG,JIG,R,2000,1,PCOD
2.38,CG,HAL,D,2000,5,PCOD
0.98,PWSI,HAL,R,2000,4,PCOD
1.16,CG,OTH,R,2000,5,PCOD
1.9,CG,HAL,D,2000,7,PCOD
35.43,SE,HAL,R,2000,2,PCOD
0.53,WY,TRW,R,2000,8,PCOD
0.16,SEI,HAL,D,2000,11,PCOD
18.74,WG,TRW,D,2000,10,PCOD
0.76,SE,HAL,D,2000,12,PCOD
0.3,WY,HAL,D,2000,6,PCOD
0.99,WY,HAL,D,2000,7,PCOD
1.3,WG,POT,D,2000,3,PCOD
2.66,WG,HAL,R,2000,9,PCOD
6.13,SEI,HAL,R,2000,12,PCOD
0.22,WY,HAL,R,2000,6,PCOD
0,PWSI,HAL,D,2001,5,PCOD
12.14,WG,TRW,R,2001,4,PCOD
12.35,WG,TRW,R,2001,8,PCOD
600.14,CG,TRW,D,2001,4,PCOD
17.89,SEI,HAL,R,2001,3,PCOD
0.57,SEI,HAL,R,2001,8,PCOD
8.7,CG,HAL,R,2001,8,PCOD
7.91,CG,HAL,R,2001,11,PCOD
6.39,CG,HAL,R,2001,7,PCOD
1,WG,HAL,D,2001,9,PCOD
1.1,PWSI,HAL,R,2001,8,PCOD
1.56,WG,HAL,R,2001,5,PCOD
0.81,SE,HAL,R,2001,5,PCOD
32.51,WG,HAL,R,2001,4,PCOD
0.45,CG,POT,D,2001,12,PCOD
9.88,WG,TRW,D,2002,7,PCOD
2683.14,WG,HAL,R,2002,2,PCOD
426.08,WG,HAL,R,2002,3,PCOD
1063.53,WG,HAL,R,2002,11,PCOD
1412.73,WG,HAL,R,2002,1,PCOD
539,CG,TRW,D,2002,7,PCOD
63.79,WG,TRW,R,2002,5,PCOD
160.57,WG,TRW,R,2002,10,PCOD
1.32,CG,HAL,D,2002,11,PCOD
13.22,SEI,HAL,R,2002,2,PCOD
0.01,SEI,HAL,D,2002,10,PCOD
1.75,SE,HAL,R,2002,6,PCOD
0.23,WG,HAL,D,2002,9,PCOD
2.25,WG,TRW,D,2002,10,PCOD
874.77,CG,TRW,D,2002,5,PCOD
4272.61,CG,TRW,R,2002,3,PCOD
2.16,SE,HAL,R,2002,1,PCOD
0.85,CG,POT,D,2002,10,PCOD
74.71,WG,POT,D,2002,11,PCOD
0.55,CG,JIG,R,2002,3,PCOD
0.27,PWSI,OTH,R,2002,8,PCOD
0.63,PWSI,HAL,R,2002,3,PCOD
1854.527,CG,HAL,R,2003,2,PCOD
0.296,WY,HAL,D,2003,3,PCOD
1534.359,CG,TRW,R,2003,7,PCOD
4000.779,CG,TRW,R,2003,9,PCOD
364.537,CG,TRW,R,2003,4,PCOD
99.773,CG,TRW,D,2003,3,PCOD
30.937,CG,TRW,D,2003,1,PCOD
5094.032,WG,POT,R,2003,2,PCOD
8.579,SEI,HAL,D,2003,7,PCOD
1.424,SE,HAL,D,2003,11,PCOD
543.799,WG,HAL,R,2003,9,PCOD
41.219,CG,JIG,R,2003,2,PCOD
1.144,SEI,HAL,R,2003,11,PCOD
0.127,PWSI,TRW,D,2003,3,PCOD
9.309,SE,HAL,R,2003,1,PCOD
1.715,WG,TRW,D,2003,3,PCOD
1.428,WY,HAL,D,2003,7,PCOD
20.555,WG,TRW,R,2003,7,PCOD
0.065,PWSI,TRW,R,2003,3,PCOD
0.044,PWSI,HAL,R,2003,7,PCOD
1.587,PWSI,POT,R,2003,4,PCOD
0.002,CG,JIG,D,2003,5,PCOD
0.276,WY,TRW,R,2003,7,PCOD
2449.543,WG,POT,R,2004,9,PCOD
0.935,SEI,HAL,D,2004,10,PCOD
3645.726,CG,POT,R,2004,1,PCOD
19.304,CG,HAL,R,2004,3,PCOD
12.818,CG,HAL,R,2004,4,PCOD
16.23,WG,HAL,R,2004,5,PCOD
903.912,CG,HAL,R,2004,9,PCOD
84.345,CG,TRW,R,2004,8,PCOD
8.925,CG,TRW,D,2004,10,PCOD
5.203,WG,HAL,R,2004,6,PCOD
523.858,CG,POT,R,2004,11,PCOD
718.289,WG,HAL,R,2004,9,PCOD
0.54,CG,HAL,D,2004,8,PCOD
272.371,WG,POT,R,2004,4,PCOD
0.175,CG,HAL,D,2004,9,PCOD
791.778,WG,HAL,R,2004,2,PCOD
1211.313,WG,HAL,R,2004,1,PCOD
0.21,PWSI,HAL,R,2004,8,PCOD
0.976,WG,HAL,D,2004,3,PCOD
22.282,WG,TRW,D,2004,4,PCOD
0.112,PWSI,HAL,R,2004,4,PCOD
0.362,WG,JIG,R,2004,11,PCOD
8.147,WG,TRW,D,2004,7,PCOD
0.004,CG,HAL,D,2004,5,PCOD
3.097,WG,TRW,R,2004,5,PCOD
349.682,WG,HAL,R,2005,2,PCOD
0.127,SEI,HAL,D,2005,8,PCOD
175.65,CG,HAL,R,2005,10,PCOD
4338.283,WG,POT,R,2005,2,PCOD
4793.986,WG,POT,R,2005,3,PCOD
30.48,WG,POT,D,2005,3,PCOD
105.189,CG,TRW,R,2005,5,PCOD
1147.32,CG,TRW,R,2005,7,PCOD
44.075,CG,TRW,D,2005,2,PCOD
43.743,CG,TRW,D,2005,9,PCOD
3.025,SEI,HAL,R,2005,7,PCOD
0.394,WG,TRW,D,2005,2,PCOD
74.588,WG,TRW,R,2005,10,PCOD
114.017,WG,TRW,R,2005,1,PCOD
123.252,CG,TRW,D,2005,5,PCOD
866.261,WG,POT,R,2005,1,PCOD
1.345,CG,HAL,R,2005,2,PCOD
267.584,CG,HAL,R,2005,12,PCOD
236.675,CG,POT,R,2005,5,PCOD
24.671,WG,HAL,D,2005,5,PCOD
2.132,WG,POT,D,2005,1,PCOD
0.07,CG,HAL,D,2005,5,PCOD
0.579,SEI,HAL,R,2005,10,PCOD
0.001,PWSI,HAL,R,2005,10,PCOD
0.007,WY,HAL,D,2005,5,PCOD
2.457,PWSI,HAL,D,2006,8,PCOD
4253.839,WG,POT,R,2006,3,PCOD
2.783,CG,HAL,D,2006,6,PCOD
0.082,WG,TRW,D,2006,9,PCOD
9.997,CG,HAL,D,2006,4,PCOD
0.629,SE,HAL,D,2006,6,PCOD
21.32,CG,HAL,R,2006,6,PCOD
2.498,SEI,HAL,R,2006,3,PCOD
1.269,SEI,HAL,R,2006,8,PCOD
1.475,SEI,HAL,R,2006,7,PCOD
54.508,CG,HAL,R,2006,4,PCOD
8.7,CG,HAL,D,2006,5,PCOD
334.774,CG,TRW,R,2006,4,PCOD
54.813,CG,JIG,R,2006,1,PCOD
8.877,WG,HAL,D,2006,8,PCOD
146.86,CG,TRW,D,2006,8,PCOD
4.054,WY,HAL,D,2006,8,PCOD
19.95,WG,HAL,R,2006,9,PCOD
15.337,CG,POT,D,2006,1,PCOD
