TONS,MONTH,SEASON,QUARTER,TRIMESTER,GEAR,YEAR,AREA,WED,STATE
3334.55,3,2,1,1,TRW,1991,620,1991-03-24T09:00:00Z,NA
19.96,9,4,3,3,TRW,1991,630,1991-09-08T08:00:00Z,NA
446.49,3,2,1,1,TRW,1991,620,1991-03-10T09:00:00Z,NA
820.79,4,2,2,1,TRW,1991,630,1991-04-28T08:00:00Z,NA
73.84,3,2,1,1,TRW,1991,610,1991-03-17T09:00:00Z,NA
337.18,2,1,1,1,POT,1991,630,1991-02-24T09:00:00Z,NA
0.4,6,3,2,2,TRW,1991,630,1991-06-23T08:00:00Z,NA
2.08,4,2,2,1,HAL,1991,620,1991-04-07T09:00:00Z,NA
35.6,9,4,3,3,TRW,1991,630,1991-09-15T08:00:00Z,NA
0.4,11,5,4,3,JIG,1991,630,1991-11-03T09:00:00Z,NA
8.56,2,1,1,1,HAL,1991,650,1991-02-17T09:00:00Z,NA
0.98,1,1,1,1,HAL,1991,650,1991-01-13T09:00:00Z,NA
29.41,12,5,4,3,POT,1991,621,1991-12-08T09:00:00Z,NA
262.93,3,2,1,1,HAL,1991,610,1991-03-10T09:00:00Z,NA
3.07,8,3,3,2,HAL,1991,610,1991-08-25T08:00:00Z,NA
158.63,3,2,1,1,POT,1991,621,1991-03-03T09:00:00Z,NA
0.18,8,3,3,2,TRW,1991,620,1991-08-04T08:00:00Z,NA
185.83,2,1,1,1,HAL,1991,610,1991-02-24T09:00:00Z,NA
217.73,4,2,2,1,POT,1991,621,1991-04-14T08:00:00Z,NA
11.7,2,1,1,1,HAL,1991,610,1991-02-03T09:00:00Z,NA
2.04,5,3,2,2,TRW,1991,630,1991-05-05T08:00:00Z,NA
13.7,1,1,1,1,HAL,1991,610,1991-01-27T09:00:00Z,NA
6.31,8,3,3,2,TRW,1991,630,1991-08-04T08:00:00Z,NA
1.21,3,2,1,1,HAL,1991,650,1991-03-03T09:00:00Z,NA
0.4,10,4,4,3,JIG,1991,640,1991-10-20T08:00:00Z,NA
2.52,9,4,3,3,TRW,1991,620,1991-09-01T08:00:00Z,NA
2.04,7,3,3,2,JIG,1991,630,1991-07-28T08:00:00Z,NA
75.71,10,4,4,3,TRW,1991,610,1991-10-27T08:00:00Z,NA
124.69,2,1,1,1,POT,1991,630,1991-02-10T09:00:00Z,NA
32.58,2,1,1,1,HAL,1991,630,1991-02-10T09:00:00Z,NA
184.12,2,1,1,1,POT,1991,630,1991-02-03T09:00:00Z,NA
12.77,3,2,1,1,HAL,1991,621,1991-03-03T09:00:00Z,NA
0.7,2,1,1,1,POT,1991,621,1991-02-03T09:00:00Z,NA
49.87,4,2,2,1,HAL,1991,621,1991-04-21T08:00:00Z,NA
121.88,4,2,2,1,HAL,1991,621,1991-04-14T08:00:00Z,NA
0.14,5,3,2,2,HAL,1991,630,1991-05-19T08:00:00Z,NA
0.82,4,2,2,1,TRW,1991,621,1991-04-14T08:00:00Z,NA
29.91,3,2,1,1,TRW,1991,620,1991-03-24T09:00:00Z,NA
89.14,4,2,2,1,TRW,1991,621,1991-04-14T08:00:00Z,NA
24.14,2,1,1,1,HAL,1991,620,1991-02-17T09:00:00Z,NA
43.46,3,2,1,1,HAL,1991,620,1991-03-03T09:00:00Z,NA
2.46,5,3,2,2,TRW,1991,620,1991-05-05T08:00:00Z,NA
3.52,2,1,1,1,HAL,1991,621,1991-02-17T09:00:00Z,NA
7.12,1,1,1,1,HAL,1991,621,1991-01-20T09:00:00Z,NA
79.27,1,1,1,1,POT,1991,630,1991-01-20T09:00:00Z,NA
4.41,6,3,2,2,HAL,1991,610,1991-06-30T08:00:00Z,NA
85.09,9,4,3,3,TRW,1991,610,1991-09-29T08:00:00Z,NA
3.9,11,5,4,3,POT,1991,610,1991-11-10T09:00:00Z,NA
3.56,10,4,4,3,TRW,1991,610,1991-10-20T08:00:00Z,NA
0.8,9,4,3,3,TRW,1991,640,1991-09-08T08:00:00Z,NA
17.92,1,1,1,1,POT,1991,621,1991-01-06T09:00:00Z,NA
56.72,1,1,1,1,HAL,1991,610,1991-01-06T09:00:00Z,NA
0.52,10,4,4,3,TRW,1991,640,1991-10-13T08:00:00Z,NA
6.49,9,4,3,3,TRW,1991,640,1991-09-22T08:00:00Z,NA
0.6,8,3,3,2,TRW,1991,610,1991-08-11T08:00:00Z,NA
28.69,7,3,3,2,TRW,1991,610,1991-07-21T08:00:00Z,NA
0.74,4,2,2,1,TRW,1991,640,1991-04-28T08:00:00Z,NA
0.3,5,3,2,2,TRW,1991,630,1991-05-12T08:00:00Z,NA
42.25,4,2,2,1,TRW,1991,620,1991-04-14T08:00:00Z,NA
0.18,4,2,2,1,POT,1991,630,1991-04-14T08:00:00Z,NA
0.62,6,3,2,2,HAL,1991,610,1991-06-09T08:00:00Z,NA
2.1,11,5,4,3,POT,1991,630,1991-11-17T09:00:00Z,NA
63.12,1,1,1,1,POT,1991,621,1991-01-27T09:00:00Z,NA
18.82,6,3,2,2,HAL,1991,630,1991-06-09T08:00:00Z,NA
0.83,6,3,2,2,HAL,1991,640,1991-06-09T08:00:00Z,NA
227.98,3,2,1,1,POT,1991,610,1991-03-17T09:00:00Z,NA
0.18,3,2,1,1,HAL,1991,650,1991-03-17T09:00:00Z,NA
0.44,5,3,2,2,HAL,1991,640,1991-05-19T08:00:00Z,NA
20.86,12,5,4,3,POT,1991,630,1991-12-08T09:00:00Z,NA
6.21,11,5,4,3,JIG,1991,610,1991-11-17T09:00:00Z,NA
0.03,3,2,1,1,POT,1991,610,1991-03-03T09:00:00Z,NA
3.12,12,5,4,3,GLN,1991,630,1991-12-08T09:00:00Z,NA
6.64,11,5,4,3,JIG,1991,621,1991-11-24T09:00:00Z,NA
2.12,10,4,4,3,JIG,1991,620,1991-10-27T08:00:00Z,NA
1.16,3,2,1,1,JIG,1991,610,1991-03-03T09:00:00Z,NA
45.39,4,2,2,1,POT,1991,620,1991-04-07T09:00:00Z,NA
0.89,7,3,3,2,TRW,1991,630,1991-07-21T08:00:00Z,NA
0.02,4,2,2,1,HAL,1991,620,1991-04-21T08:00:00Z,NA
0.05,7,3,3,2,TRW,1991,620,1991-07-14T08:00:00Z,NA
8.94,1,1,1,1,TRW,1991,610,1991-01-13T09:00:00Z,NA
14.95,10,4,4,3,TRW,1992,620,1992-10-25T08:00:00Z,NA
42.23,10,4,4,3,TRW,1992,630,1992-10-04T08:00:00Z,NA
5.02,3,2,1,1,POT,1992,620,1992-03-15T09:00:00Z,NA
9.18,2,1,1,1,TRW,1992,630,1992-02-02T09:00:00Z,NA
4784.02,2,1,1,1,TRW,1992,610,1992-02-16T09:00:00Z,NA
1321.19,2,1,1,1,TRW,1992,610,1992-02-02T09:00:00Z,NA
491.57,3,2,1,1,TRW,1992,610,1992-03-01T09:00:00Z,NA
16.38,2,1,1,1,POT,1992,630,1992-02-23T09:00:00Z,NA
42.92,4,2,2,1,TRW,1992,630,1992-04-19T08:00:00Z,NA
68.25,3,2,1,1,TRW,1992,620,1992-03-22T09:00:00Z,NA
1.06,1,1,1,1,TRW,1992,620,1992-01-26T09:00:00Z,NA
1.8,8,3,3,2,HAL,1992,610,1992-08-30T08:00:00Z,NA
109.46,2,1,1,1,TRW,1992,630,1992-02-09T09:00:00Z,NA
958.44,3,2,1,1,POT,1992,630,1992-03-15T09:00:00Z,NA
1308.72,3,2,1,1,TRW,1992,630,1992-03-08T09:00:00Z,NA
23.72,5,3,2,2,HAL,1992,630,1992-05-31T08:00:00Z,NA
2.13,6,3,2,2,TRW,1992,630,1992-06-07T08:00:00Z,NA
2.74,9,4,3,3,HAL,1992,630,1992-09-13T08:00:00Z,NA
728.14,3,2,1,1,POT,1992,630,1992-03-01T09:00:00Z,NA
6.11,6,3,2,2,HAL,1992,610,1992-06-21T08:00:00Z,NA
51.09,10,4,4,3,HAL,1992,630,1992-10-11T08:00:00Z,NA
179.4,3,2,1,1,POT,1992,620,1992-03-01T09:00:00Z,NA
17.6,8,3,3,2,TRW,1992,630,1992-08-09T08:00:00Z,NA
484.8,1,1,1,1,HAL,1992,610,1992-01-26T09:00:00Z,NA
3.08,1,1,1,1,HAL,1992,659,1992-01-19T09:00:00Z,NA
8.91,3,2,1,1,HAL,1992,630,1992-03-08T09:00:00Z,NA
376.74,2,1,1,1,HAL,1992,610,1992-02-02T09:00:00Z,NA
714.08,3,2,1,1,HAL,1992,630,1992-03-22T09:00:00Z,NA
2.88,2,1,1,1,HAL,1992,659,1992-02-02T09:00:00Z,NA
12.16,3,2,1,1,POT,1992,630,1992-03-15T09:00:00Z,NA
173.29,3,2,1,1,POT,1992,620,1992-03-08T09:00:00Z,NA
86.02,9,4,3,3,HAL,1992,620,1992-09-13T08:00:00Z,NA
1.55,9,4,3,3,HAL,1992,620,1992-09-06T08:00:00Z,NA
0.08,4,2,2,1,JIG,1992,630,1992-04-12T08:00:00Z,NA
30.03,4,2,2,1,TRW,1992,620,1992-04-19T08:00:00Z,NA
1,5,3,2,2,TRW,1992,620,1992-05-10T08:00:00Z,NA
282.57,2,1,1,1,HAL,1992,630,1992-02-23T09:00:00Z,NA
124.18,3,2,1,1,TRW,1992,610,1992-03-15T09:00:00Z,NA
3.56,7,3,3,2,TRW,1992,640,1992-07-26T08:00:00Z,NA
0.41,7,3,3,2,TRW,1992,640,1992-07-12T08:00:00Z,NA
8.84,2,1,1,1,HAL,1992,610,1992-02-09T09:00:00Z,NA
20.59,10,4,4,3,HAL,1992,640,1992-10-25T08:00:00Z,NA
2.28,4,2,2,1,HAL,1992,650,1992-04-12T08:00:00Z,NA
0.96,5,3,2,2,HAL,1992,650,1992-05-31T08:00:00Z,NA
0.51,10,4,4,3,HAL,1992,650,1992-10-25T08:00:00Z,NA
18.31,1,1,1,1,HAL,1992,630,1992-01-12T09:00:00Z,NA
0.76,1,1,1,1,HAL,1992,630,1992-01-12T09:00:00Z,NA
0.35,8,3,3,2,JIG,1992,650,1992-08-30T08:00:00Z,NA
0.8,4,2,2,1,HAL,1992,650,1992-04-19T08:00:00Z,NA
0.03,3,2,1,1,OTH,1992,649,1992-03-08T09:00:00Z,NA
0.14,5,3,2,2,TRW,1992,620,1992-05-03T08:00:00Z,NA
0.05,7,3,3,2,HAL,1992,630,1992-07-12T08:00:00Z,NA
0.05,9,4,3,3,HAL,1992,650,1992-09-27T08:00:00Z,NA
31.79,3,2,1,1,HAL,1992,649,1992-03-01T09:00:00Z,NA
6.83,2,1,1,1,HAL,1992,620,1992-02-23T09:00:00Z,NA
6.17,3,2,1,1,OTH,1992,630,1992-03-08T09:00:00Z,NA
32.07,3,2,1,1,TRW,1992,610,1992-03-22T09:00:00Z,NA
23.42,4,2,2,1,OTH,1992,630,1992-04-05T09:00:00Z,NA
9.1,3,2,1,1,OTH,1992,630,1992-03-29T09:00:00Z,NA
3.81,5,3,2,2,HAL,1992,650,1992-05-31T08:00:00Z,NA
41.8,1,1,1,1,POT,1992,620,1992-01-19T09:00:00Z,NA
0.73,4,2,2,1,HAL,1992,620,1992-04-05T09:00:00Z,NA
1.58,4,2,2,1,POT,1992,620,1992-04-05T09:00:00Z,NA
0.15,11,5,4,3,HAL,1992,659,1992-11-08T09:00:00Z,NA
0.12,8,3,3,2,HAL,1992,620,1992-08-23T08:00:00Z,NA
11.65,8,3,3,2,HAL,1992,620,1992-08-23T08:00:00Z,NA
3.87,9,4,3,3,HAL,1992,659,1992-09-13T08:00:00Z,NA
0.08,1,1,1,1,POT,1992,630,1992-01-05T09:00:00Z,NA
0.09,4,2,2,1,HAL,1992,610,1992-04-26T08:00:00Z,NA
0.2,7,3,3,2,HAL,1992,610,1992-07-19T08:00:00Z,NA
16.27,3,2,1,1,POT,1992,649,1992-03-01T09:00:00Z,NA
10.85,11,5,4,3,HAL,1992,659,1992-11-22T09:00:00Z,NA
5.35,3,2,1,1,OTH,1992,630,1992-03-15T09:00:00Z,NA
23.92,10,4,4,3,POT,1992,620,1992-10-18T08:00:00Z,NA
0.05,10,4,4,3,POT,1992,630,1992-10-18T08:00:00Z,NA
11.69,2,1,1,1,OTH,1992,630,1992-02-09T09:00:00Z,NA
1.02,5,3,2,2,JIG,1992,630,1992-05-24T08:00:00Z,NA
0.64,2,1,1,1,HAL,1992,630,1992-02-09T09:00:00Z,NA
0.45,5,3,2,2,HAL,1992,649,1992-05-31T08:00:00Z,NA
0.21,5,3,2,2,HAL,1992,659,1992-05-03T08:00:00Z,NA
26.61,2,1,1,1,POT,1992,649,1992-02-23T09:00:00Z,NA
31.33,9,4,3,3,POT,1992,620,1992-09-20T08:00:00Z,NA
2.63,4,2,2,1,TRW,1992,610,1992-04-12T08:00:00Z,NA
23.41,1,1,1,1,POT,1992,610,1992-01-19T09:00:00Z,NA
15.31,8,3,3,2,TRW,1992,620,1992-08-09T08:00:00Z,NA
4.72,9,4,3,3,HAL,1992,650,1992-09-13T08:00:00Z,NA
11.92,10,4,4,3,HAL,1992,649,1992-10-11T08:00:00Z,NA
0.2,7,3,3,2,HAL,1992,659,1992-07-05T08:00:00Z,NA
1.62,5,3,2,2,HAL,1992,620,1992-05-31T08:00:00Z,NA
2.21,5,3,2,2,HAL,1992,650,1992-05-17T08:00:00Z,NA
0.91,5,3,2,2,HAL,1992,659,1992-05-24T08:00:00Z,NA
4.55,2,1,1,1,POT,1992,610,1992-02-16T09:00:00Z,NA
0.04,11,5,4,3,HAL,1992,650,1992-11-01T09:00:00Z,NA
0,4,2,2,1,HAL,1992,650,1992-04-26T08:00:00Z,NA
0.64,3,2,1,1,HAL,1992,649,1992-03-29T09:00:00Z,NA
0.34,6,3,2,2,TRW,1992,620,1992-06-14T08:00:00Z,NA
1.43,12,5,4,3,TRW,1992,630,1992-12-20T09:00:00Z,NA
0.1,12,5,4,3,TRW,1992,630,1992-12-13T09:00:00Z,NA
0.97,7,3,3,2,HAL,1992,630,1992-07-26T08:00:00Z,NA
35.36,4,2,2,1,HAL,1993,649,1993-04-17T08:00:00Z,NA
29.2,10,4,4,3,TRW,1993,630,1993-10-16T08:00:00Z,NA
27.27,10,4,4,3,TRW,1993,630,1993-10-16T08:00:00Z,NA
0.01,10,4,4,3,JIG,1993,630,1993-10-02T08:00:00Z,NA
9.08,6,3,2,2,TRW,1993,620,1993-06-05T08:00:00Z,NA
92.84,6,3,2,2,HAL,1993,620,1993-06-05T08:00:00Z,NA
75.82,3,2,1,1,TRW,1993,630,1993-03-27T09:00:00Z,NA
48.12,10,4,4,3,TRW,1993,620,1993-10-23T08:00:00Z,NA
563.09,2,1,1,1,TRW,1993,630,1993-02-06T09:00:00Z,NA
0.99,12,5,4,3,HAL,1993,650,1993-12-04T09:00:00Z,NA
651.45,2,1,1,1,POT,1993,630,1993-02-27T09:00:00Z,NA
271.25,2,1,1,1,POT,1993,620,1993-02-27T09:00:00Z,NA
1.43,1,1,1,1,HAL,1993,610,1993-01-16T09:00:00Z,NA
334.97,3,2,1,1,HAL,1993,630,1993-03-06T09:00:00Z,NA
1.68,10,4,4,3,TRW,1993,610,1993-10-02T08:00:00Z,NA
1.29,9,4,3,3,HAL,1993,650,1993-09-11T08:00:00Z,NA
0.08,6,3,2,2,HAL,1993,650,1993-06-12T08:00:00Z,NA
8.14,6,3,2,2,TRW,1993,630,1993-06-12T08:00:00Z,NA
94.66,4,2,2,1,TRW,1993,630,1993-04-17T08:00:00Z,NA
98.21,3,2,1,1,TRW,1993,620,1993-03-20T09:00:00Z,NA
2.46,3,2,1,1,TRW,1993,649,1993-03-06T09:00:00Z,NA
0.19,12,5,4,3,HAL,1993,659,1993-12-11T09:00:00Z,NA
36.69,3,2,1,1,HAL,1993,649,1993-03-27T09:00:00Z,NA
327.1,7,3,3,2,TRW,1993,630,1993-07-24T08:00:00Z,NA
0.5,5,3,2,2,HAL,1993,640,1993-05-15T08:00:00Z,NA
29.78,2,1,1,1,TRW,1993,610,1993-02-13T09:00:00Z,NA
0.35,3,2,1,1,HAL,1993,659,1993-03-20T09:00:00Z,NA
1.18,3,2,1,1,HAL,1993,650,1993-03-13T09:00:00Z,NA
0.95,6,3,2,2,HAL,1993,659,1993-06-26T08:00:00Z,NA
50.34,12,5,4,3,TRW,1993,630,1993-12-04T09:00:00Z,NA
36.81,6,3,2,2,TRW,1993,620,1993-06-19T08:00:00Z,NA
0.6,11,5,4,3,HAL,1993,650,1993-11-06T09:00:00Z,NA
290.14,2,1,1,1,TRW,1993,630,1993-02-20T09:00:00Z,NA
70.03,10,4,4,3,TRW,1993,620,1993-10-16T08:00:00Z,NA
325.56,1,1,1,1,POT,1993,630,1993-01-16T09:00:00Z,NA
66.7,2,1,1,1,POT,1993,649,1993-02-20T09:00:00Z,NA
0.02,6,3,2,2,HAL,1993,640,1993-06-19T08:00:00Z,NA
0.72,6,3,2,2,HAL,1993,649,1993-06-12T08:00:00Z,NA
2.7,9,4,3,3,HAL,1993,610,1993-09-11T08:00:00Z,NA
0.02,8,3,3,2,HAL,1993,640,1993-08-28T08:00:00Z,NA
0.32,2,1,1,1,HAL,1993,659,1993-02-06T09:00:00Z,NA
4.78,4,2,2,1,HAL,1993,659,1993-04-24T08:00:00Z,NA
0.37,5,3,2,2,HAL,1993,630,1993-05-01T08:00:00Z,NA
4.68,8,3,3,2,TRW,1993,620,1993-08-07T08:00:00Z,NA
399.55,2,1,1,1,HAL,1993,610,1993-02-13T09:00:00Z,NA
0.64,4,2,2,1,HAL,1993,630,1993-04-03T09:00:00Z,NA
1.22,5,3,2,2,HAL,1993,620,1993-05-15T08:00:00Z,NA
1.59,9,4,3,3,HAL,1993,659,1993-09-04T08:00:00Z,NA
2.81,2,1,1,1,HAL,1993,640,1993-02-27T09:00:00Z,NA
0.1,2,1,1,1,HAL,1993,659,1993-02-13T09:00:00Z,NA
10.92,2,1,1,1,POT,1993,610,1993-02-06T09:00:00Z,NA
1.25,2,1,1,1,HAL,1993,650,1993-02-13T09:00:00Z,NA
78.95,8,3,3,2,TRW,1993,620,1993-08-14T08:00:00Z,NA
1.76,1,1,1,1,HAL,1993,610,1993-01-30T09:00:00Z,NA
21.62,2,1,1,1,HAL,1993,620,1993-02-27T09:00:00Z,NA
2.33,3,2,1,1,POT,1993,620,1993-03-06T09:00:00Z,NA
13.37,1,1,1,1,POT,1993,630,1993-01-09T09:00:00Z,NA
75.16,3,2,1,1,POT,1993,610,1993-03-13T09:00:00Z,NA
0.05,11,5,4,3,HAL,1993,659,1993-11-27T09:00:00Z,NA
0.43,3,2,1,1,HAL,1993,649,1993-03-20T09:00:00Z,NA
0.05,3,2,1,1,POT,1993,649,1993-03-13T09:00:00Z,NA
5.32,3,2,1,1,HAL,1993,620,1993-03-06T09:00:00Z,NA
0.48,5,3,2,2,JIG,1993,630,1993-05-01T08:00:00Z,NA
1.14,2,1,1,1,JIG,1993,630,1993-02-20T09:00:00Z,NA
1.11,8,3,3,2,TRW,1993,620,1993-08-14T08:00:00Z,NA
3.55,6,3,2,2,TRW,1993,630,1993-06-12T08:00:00Z,NA
2.01,6,3,2,2,HAL,1993,620,1993-06-12T08:00:00Z,NA
536.79,3,2,1,1,HAL,1994,610,1994-03-05T09:00:00Z,NA
24.5,4,2,2,1,TRW,1994,630,1994-04-16T08:00:00Z,NA
56.67,7,3,3,2,TRW,1994,620,1994-07-16T08:00:00Z,NA
0.9,9,4,3,3,TRW,1994,630,1994-09-03T08:00:00Z,NA
265.99,1,1,1,1,HAL,1994,610,1994-01-15T09:00:00Z,NA
26.22,8,3,3,2,TRW,1994,630,1994-08-13T08:00:00Z,NA
232,1,1,1,1,POT,1994,630,1994-01-22T09:00:00Z,NA
0.07,6,3,2,2,HAL,1994,659,1994-06-25T08:00:00Z,NA
1.66,2,1,1,1,JIG,1994,630,1994-02-26T09:00:00Z,NA
0.2,6,3,2,2,HAL,1994,630,1994-06-11T08:00:00Z,NA
0,7,3,3,2,HAL,1994,630,1994-07-16T08:00:00Z,NA
0,8,3,3,2,HAL,1994,620,1994-08-06T08:00:00Z,NA
0,7,3,3,2,HAL,1994,620,1994-07-23T08:00:00Z,NA
13.35,2,1,1,1,TRW,1994,630,1994-02-12T09:00:00Z,NA
1.15,1,1,1,1,HAL,1994,630,1994-01-15T09:00:00Z,NA
1.86,2,1,1,1,TRW,1994,620,1994-02-12T09:00:00Z,NA
0.9,1,1,1,1,HAL,1994,610,1994-01-22T09:00:00Z,NA
1.49,2,1,1,1,HAL,1994,610,1994-02-19T09:00:00Z,NA
85.84,2,1,1,1,HAL,1994,620,1994-02-12T09:00:00Z,NA
1.71,2,1,1,1,HAL,1994,620,1994-02-26T09:00:00Z,NA
0.7,4,2,2,1,HAL,1994,659,1994-04-09T08:00:00Z,NA
0.51,5,3,2,2,HAL,1994,650,1994-05-14T08:00:00Z,NA
0.97,3,2,1,1,HAL,1994,659,1994-03-19T09:00:00Z,NA
12.34,2,1,1,1,HAL,1994,649,1994-02-26T09:00:00Z,NA
0.01,10,4,4,3,HAL,1994,650,1994-10-22T08:00:00Z,NA
0.13,11,5,4,3,HAL,1994,650,1994-11-05T09:00:00Z,NA
0.36,10,4,4,3,HAL,1994,650,1994-10-08T08:00:00Z,NA
14.7,1,1,1,1,HAL,1994,649,1994-01-22T09:00:00Z,NA
0.19,5,3,2,2,HAL,1994,650,1994-05-28T08:00:00Z,NA
1.33,8,3,3,2,TRW,1994,640,1994-08-27T08:00:00Z,NA
0.06,8,3,3,2,HAL,1994,659,1994-08-13T08:00:00Z,NA
128.05,10,4,4,3,TRW,1994,630,1994-10-29T08:00:00Z,NA
55.55,4,2,2,1,POT,1994,640,1994-04-02T09:00:00Z,NA
0.01,12,5,4,3,HAL,1994,650,1994-12-31T09:00:00Z,NA
0.12,3,2,1,1,HAL,1994,649,1994-03-12T09:00:00Z,NA
0.01,1,1,1,1,HAL,1994,659,1994-01-29T09:00:00Z,NA
0.07,8,3,3,2,HAL,1994,650,1994-08-06T08:00:00Z,NA
0.03,9,4,3,3,HAL,1994,659,1994-09-24T08:00:00Z,NA
15.99,4,2,2,1,TRW,1994,620,1994-04-16T08:00:00Z,NA
0.04,6,3,2,2,HAL,1994,640,1994-06-25T08:00:00Z,NA
2.13,4,2,2,1,TRW,1994,610,1994-04-09T08:00:00Z,NA
45.58,2,1,1,1,TRW,1994,620,1994-02-05T09:00:00Z,NA
298.05,2,1,1,1,TRW,1994,610,1994-02-05T09:00:00Z,NA
0.79,7,3,3,2,TRW,1994,610,1994-07-02T08:00:00Z,NA
2.32,4,2,2,1,TRW,1994,610,1994-04-02T09:00:00Z,NA
32.9,3,2,1,1,TRW,1994,610,1994-03-05T09:00:00Z,NA
57.39,2,1,1,1,TRW,1994,620,1994-02-19T09:00:00Z,NA
14.8,2,1,1,1,TRW,1994,630,1994-02-19T09:00:00Z,NA
1.91,2,1,1,1,HAL,1994,630,1994-02-19T09:00:00Z,NA
588.59,2,1,1,1,TRW,1994,630,1994-02-12T09:00:00Z,NA
0.25,4,2,2,1,HAL,1994,630,1994-04-16T08:00:00Z,NA
63.27,12,5,4,3,POT,1994,610,1994-12-24T09:00:00Z,NA
0.13,12,5,4,3,POT,1994,610,1994-12-31T09:00:00Z,NA
2.08,1,1,1,1,JIG,1994,630,1994-01-15T09:00:00Z,NA
9.02,1,1,1,1,TRW,1994,620,1994-01-22T09:00:00Z,NA
62.72,1,1,1,1,HAL,1994,630,1994-01-22T09:00:00Z,NA
1.42,3,2,1,1,TRW,1994,620,1994-03-26T09:00:00Z,NA
0.13,4,2,2,1,HAL,1994,630,1994-04-23T08:00:00Z,NA
1,7,3,3,2,TRW,1994,610,1994-07-16T08:00:00Z,NA
12.28,1,1,1,1,POT,1994,649,1994-01-08T09:00:00Z,NA
0.56,2,1,1,1,HAL,1994,649,1994-02-12T09:00:00Z,NA
0.06,10,4,4,3,HAL,1994,650,1994-10-22T08:00:00Z,NA
0.04,3,2,1,1,HAL,1994,659,1994-03-19T09:00:00Z,NA
0.05,3,2,1,1,POT,1994,640,1994-03-19T09:00:00Z,NA
0,3,2,1,1,HAL,1994,650,1994-03-19T09:00:00Z,NA
0.05,4,2,2,1,HAL,1994,650,1994-04-23T08:00:00Z,NA
0,4,2,2,1,HAL,1994,659,1994-04-23T08:00:00Z,NA
0,6,3,2,2,HAL,1994,640,1994-06-18T08:00:00Z,NA
0.01,2,1,1,1,HAL,1994,659,1994-02-26T09:00:00Z,NA
0.05,7,3,3,2,HAL,1994,659,1994-07-30T08:00:00Z,NA
0.07,3,2,1,1,HAL,1994,650,1994-03-12T09:00:00Z,NA
2.87,8,3,3,2,TRW,1994,650,1994-08-06T08:00:00Z,NA
0.03,8,3,3,2,HAL,1994,650,1994-08-13T08:00:00Z,NA
98.43,1,1,1,1,POT,1994,610,1994-01-22T09:00:00Z,NA
1.11,3,2,1,1,POT,1994,610,1994-03-12T09:00:00Z,NA
1.44,2,1,1,1,POT,1994,610,1994-02-19T09:00:00Z,NA
26.71,3,2,1,1,POT,1994,610,1994-03-05T09:00:00Z,NA
4.06,1,1,1,1,HAL,1995,649,1995-01-21T09:00:00Z,NA
627.12,2,1,1,1,POT,1995,630,1995-02-11T09:00:00Z,NA
344.76,3,2,1,1,POT,1995,620,1995-03-04T09:00:00Z,NA
496.53,3,2,1,1,POT,1995,630,1995-03-25T09:00:00Z,NA
892.26,2,1,1,1,POT,1995,630,1995-02-18T09:00:00Z,NA
82.61,10,4,4,3,POT,1995,620,1995-10-07T08:00:00Z,NA
24.39,9,4,3,3,POT,1995,620,1995-09-30T08:00:00Z,NA
0.02,4,2,2,1,HAL,1995,650,1995-04-22T08:00:00Z,NA
1.68,6,3,2,2,HAL,1995,650,1995-06-17T08:00:00Z,NA
0.09,4,2,2,1,HAL,1995,649,1995-04-08T08:00:00Z,NA
352.79,1,1,1,1,HAL,1995,630,1995-01-28T09:00:00Z,NA
649.98,2,1,1,1,HAL,1995,630,1995-02-25T09:00:00Z,NA
9.15,6,3,2,2,HAL,1995,630,1995-06-10T08:00:00Z,NA
0.01,10,4,4,3,HAL,1995,640,1995-10-07T08:00:00Z,NA
0.02,4,2,2,1,HAL,1995,650,1995-04-01T09:00:00Z,NA
0.06,10,4,4,3,HAL,1995,650,1995-10-28T08:00:00Z,NA
2.58,9,4,3,3,HAL,1995,650,1995-09-16T08:00:00Z,NA
11.22,2,1,1,1,POT,1995,610,1995-02-25T09:00:00Z,NA
0.02,2,1,1,1,POT,1995,610,1995-02-25T09:00:00Z,NA
5.14,8,3,3,2,HAL,1995,630,1995-08-26T08:00:00Z,NA
8.23,6,3,2,2,HAL,1995,630,1995-06-17T08:00:00Z,NA
0.9,2,1,1,1,POT,1995,620,1995-02-25T09:00:00Z,NA
4.61,9,4,3,3,HAL,1995,659,1995-09-23T08:00:00Z,NA
1,11,5,4,3,HAL,1995,630,1995-11-11T09:00:00Z,NA
1.15,7,3,3,2,HAL,1995,640,1995-07-08T08:00:00Z,NA
7.62,10,4,4,3,HAL,1995,630,1995-10-07T08:00:00Z,NA
0.03,4,2,2,1,HAL,1995,620,1995-04-15T08:00:00Z,NA
2.01,2,1,1,1,JIG,1995,610,1995-02-04T09:00:00Z,NA
0.08,12,5,4,3,HAL,1995,650,1995-12-16T09:00:00Z,NA
0.03,9,4,3,3,HAL,1995,640,1995-09-30T08:00:00Z,NA
0.02,8,3,3,2,HAL,1995,620,1995-08-26T08:00:00Z,NA
1.45,2,1,1,1,TRW,1995,620,1995-02-11T09:00:00Z,NA
3.82,2,1,1,1,TRW,1995,630,1995-02-11T09:00:00Z,NA
101.22,2,1,1,1,TRW,1995,620,1995-02-11T09:00:00Z,NA
8.19,3,2,1,1,HAL,1995,630,1995-03-11T09:00:00Z,NA
21.57,10,4,4,3,TRW,1995,630,1995-10-28T08:00:00Z,NA
