year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,76,210.026135307906,644.367691295223,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,77,80.3982148447321,246.873152780365,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,78,121.474491187044,368.099860488974,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,79,149.925190654625,454.553401526218,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,80,72.7265215280117,224.587456440369,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,81,51.9475153771512,160.419611743121,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,82,59.6192086938716,182.705308083117,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,83,41.5580123017209,128.335689394497,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,84,93.5055276788721,288.755301137617,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,85,62.3370184525814,192.503534091745,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,86,67.290902010592,204.991004423113,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,87,41.5580123017209,128.335689394497,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,88,88.0699081614525,269.158849120361,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,25,Shumagin Slope,Western Gulf of Alaska,21720,Pacific cod,2,89,124.674036905163,385.00706818349,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,55,Dixon Entrance,East Yakutat/Southeast,21720,Pacific cod,2,55,56.7813288477712,179.786989525955,2021-07-24T02:52:46Z,2023-09-12T20:09:23Z
1990,United States,81,Ocean Prowler,199001,55,Dixon Entrance,East Yakutat/Southeast,21720,Pacific cod,2,57,56.7813288477712,179.786989525955,2021-07-24T02:52:46Z,2023-09-12T20:09:23Z
1990,United States,81,Ocean Prowler,199001,55,Dixon Entrance,East Yakutat/Southeast,21720,Pacific cod,2,62,113.562657695542,359.57397905191,2021-07-24T02:52:46Z,2023-09-12T20:09:23Z
1990,United States,81,Ocean Prowler,199001,55,Dixon Entrance,East Yakutat/Southeast,21720,Pacific cod,2,64,56.7813288477712,179.786989525955,2021-07-24T02:52:46Z,2023-09-12T20:09:23Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,53,96.5693838347731,283.149558421967,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,54,105.280163544963,312.020220440935,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,55,105.280163544963,312.020220440935,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,56,179.509492837248,548.81391665549,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,57,285.165059893553,843.620275203086,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,58,333.262050055268,993.801985360739,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,59,455.963773020611,1363.56352983961,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,60,488.439045797993,1470.90856789499,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,61,815.358162206449,2443.97750125725,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,62,696.448723829187,2114.47208062787,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,63,566.836063189702,1730.7445260657,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,64,621.468587514217,1912.10610819999,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,65,635.097862346516,1929.59130838844,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,66,433.24831496678,1334.42152952554,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,67,364.986515809966,1135.5747472028,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,68,405.123533284176,1222.45807155481,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,69,121.950915942657,404.189268265547,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,70,100.361668422854,323.405682271459,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,71,118.158631354576,363.933144416055,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,72,17.4215594203796,57.7413240379353,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
1990,United States,81,Ocean Prowler,199001,35,Kodiak slope,Central Gulf of Alaska,21720,Pacific cod,1,73,61.3508614826713,184.880772239435,2021-07-24T02:52:46Z,2023-09-12T20:09:22Z
